film_id,genre_id,director_gender
11860,2,male
12110,2,male
11010,2,male
4482,2,female
40154,2,male
11907,2,female
33542,2,male
43612,2,male
11104,2,male
55475,2,male
22279,2,male
30157,2,male
1775,2,male
15730,2,male
68274,2,male
10451,2,male
397,2,male
11318,2,male
25296,2,male
28033,2,male
36614,2,male
27993,2,male
236,2,male
2759,2,male
712,2,male
52038,2,male
46924,2,male
20239,2,male
25440,2,male
41006,2,male
10612,2,male
12121,2,male
11971,2,male
21450,2,male
11858,2,female
8005,2,male
12519,2,male
10057,2,male
8223,2,male
14587,2,female
47507,2,male
25403,2,male
51242,2,male
2021,2,male
11479,2,male
161070,2,male
18414,2,male
90214,2,male
32513,2,male
25697,2,male
21588,2,male
16299,2,male
935,2,male
55613,2,male
41007,2,male
10779,2,male
49963,2,female
77056,2,male
4837,2,male
9098,2,male
44705,2,male
22733,2,male
85328,2,male
623,2,male
583,2,male
12614,2,male
10379,2,male
762,2,male
55049,2,male
30892,2,male
8074,2,male
10608,2,male
892,2,male
10409,2,male
2469,2,male
68,2,male
37291,2,male
11235,2,male
763,2,male
18971,2,male
9964,2,male
11673,2,male
8816,2,male
814,2,male
12709,2,male
12145,2,male
58911,2,male
49806,2,male
13982,2,male
9977,2,male
15321,2,male
45671,2,female
65889,2,male
11956,2,male
111367,2,male
14585,2,male
20457,2,male
9427,2,male
8067,2,male
61337,2,male
10215,2,male
27103,2,male
25719,2,male
6116,2,male
6970,2,male
9440,2,male
9449,2,male
10622,2,male
21334,2,male
12655,2,male
35680,2,female
5769,2,male
19381,2,female
54795,2,male
14577,2,male
36049,2,male
75793,2,male
36054,2,male
26618,2,male
3486,2,male
43106,2,male
637,2,male
8675,2,male
21589,2,male
10368,2,male
22913,2,male
1618,2,male
26425,2,male
100,2,male
10212,2,female
125123,2,male
30950,2,male
18764,2,male
22826,2,male
12596,2,male
13852,2,male
10210,2,male
8785,2,male
509,2,male
55912,2,female
24137,2,male
9421,2,male
55955,2,male
48958,2,male
3934,2,male
16406,2,male
89861,2,male
24103,2,male
9267,2,male
9406,2,male
10154,2,male
6373,2,male
40694,2,female
40879,2,male
35122,2,male
142132,2,female
2290,2,male
62994,2,male
32305,2,male
15198,2,male
10381,2,male
5622,2,male
11712,2,male
13824,2,male
1610,2,male
36819,2,male
10563,2,male
8056,2,male
25560,2,male
11790,2,male
276635,2,male
4203,2,male
99,2,male
13787,2,female
2277,2,male
46435,2,male
11900,2,male
10831,2,male
33078,2,male
110479,2,male
10086,2,male
106837,2,male
62463,2,male
10385,2,female
127602,2,male
11004,2,male
139,2,male
54575,2,male
139058,2,male
14900,2,male
123047,2,male
54825,2,male
49721,2,female
61560,2,male
19600,2,male
11332,2,male
28973,2,male
499,2,female
10102,2,male
38921,2,male
35463,2,male
51333,2,male
25636,2,female
41160,2,male
7443,2,male
17711,2,male
10401,2,male
27723,2,male
2360,2,male
11589,2,male
14195,2,male
47434,2,female
10480,2,male
71,2,male
47302,2,male
77434,2,female
8871,2,male
392,2,male
21991,2,male
14464,2,male
10697,2,female
44412,2,male
21620,2,male
6073,2,male
39180,2,male
17203,2,male
15598,2,male
33676,2,male
5257,2,male
15940,2,male
118052,2,male
8076,2,male
46498,2,male
11035,2,male
11936,2,male
37691,2,male
29937,2,male
49922,2,male
38043,2,female
11444,2,male
25985,2,male
14506,2,male
27362,2,male
11347,2,male
3543,2,male
70842,2,male
38560,2,male
12582,2,male
10001,2,male
2210,2,male
116014,2,male
11828,2,male
55699,2,male
8216,2,male
552,2,male
33379,2,male
56162,2,male
18683,2,male
31083,2,male
65015,2,female
24077,2,male
26535,2,male
11308,2,male
23239,2,male
19317,2,male
19267,2,male
9896,2,male
2779,2,male
13966,2,male
742,2,male
20857,2,male
21028,2,male
82523,2,male
25767,2,male
22874,2,male
35066,2,male
25641,2,female
10034,2,male
11834,2,male
5781,2,male
27145,2,male
194,2,male
11938,2,male
18939,2,male
18317,2,male
11891,2,male
11888,2,male
112,2,female
27378,2,male
50819,2,female
13915,2,male
2084,2,male
74692,2,male
4267,2,male
4031,2,male
19562,2,male
14778,2,male
42458,2,male
13791,2,male
480,2,female
38442,2,male
39387,2,male
2752,2,male
35810,2,male
43997,2,male
16149,2,male
39543,2,male
39578,2,male
4499,2,male
5851,2,male
11563,2,male
9275,2,male
29135,2,male
62956,2,female
17990,2,male
35944,2,male
35337,2,female
16643,2,male
42048,2,male
9026,2,male
27834,2,male
48216,2,female
52258,2,male
43139,2,male
88818,2,male
30114,2,male
16664,2,male
14651,2,male
20324,2,male
8869,2,male
45861,2,male
43915,2,male
8764,2,male
12308,2,male
9962,2,male
2750,2,male
11692,2,male
3640,2,female
12771,2,male
23967,2,female
31514,2,male
33506,2,male
5506,2,male
32961,2,male
32568,2,male
19460,2,male
1958,2,male
2110,2,male
9260,2,male
12921,2,male
15313,2,male
1809,2,male
12779,2,male
11340,2,male
19123,2,male
16124,2,male
21764,2,male
12454,2,male
31668,2,male
25037,2,male
34341,2,male
11629,2,male
48524,2,male
9317,2,male
5261,2,male
35612,2,male
71524,2,male
29743,2,male
26639,2,male
10856,2,male
2642,2,male
18002,2,male
10599,2,male
12090,2,male
41209,2,male
10628,2,male
20813,2,male
9027,2,female
34783,2,male
