film_id,popularity,rating_id
11860,6.677277,1
12110,5.430331,2
1408,7.284477,3
524,10.137389,4
4584,10.673167,5
9691,11.065939,6
16420,1.845899,7
17015,2.228434,8
902,9.822423,9
37557,1.100915,10
47018,1.493361,11
687,6.891317,12
31174,4.561387,13
8391,3.302524,14
49133,1.361286,15
97406,4.093443,16
11010,10.168437,17
99040,0.120789,18
4482,2.518051,19
48750,1.479446,20
46785,1.196256,21
40154,0.513391,22
406,12.108196,23
45549,2.657647,24
63076,0.638211,25
11907,1.015068,26
33542,12.314278,27
71754,0.372697,28
43612,1.254885,29
32119,0.86539,30
11104,6.778979,31
73067,0.637554,32
55475,0.291021,33
39428,0.370342,34
22279,0.922958,35
30157,1.759012,36
11780,10.193549,37
649,10.142662,38
1775,5.391556,39
9886,11.715868,40
15730,0.354014,41
68274,1.01115,42
48787,2.466066,43
32646,8.180047,44
36834,4.546552,45
49805,3.727644,46
22625,2.605521,47
10531,5.484156,48
10451,4.860016,49
20156,5.378467,50
397,9.146544,51
72031,1.012197,52
1024,9.438042,53
49980,0.84508,54
18183,4.126083,55
11318,4.81307,56
3036,14.287753,57
8438,9.518564,58
56428,0.426952,59
101,20.477329,60
41478,7.160149,61
25296,1.638622,62
40156,1.881932,63
10452,4.405405,64
12106,7.54701,65
159185,0.078257,66
92769,0.499601,67
28033,1.390885,68
14334,1.750481,69
2636,10.388183,70
2164,13.328924,71
9905,8.223026,72
36614,1.407427,73
27993,5.05806,74
31439,5.260627,75
46797,0.704204,76
236,5.254847,77
2759,8.328596,78
12635,2.487951,79
10497,11.298195,80
712,8.990345,81
1689,5.681522,82
52038,0.406113,83
18242,0.381704,84
46924,2.783872,85
14522,8.398845,86
9350,9.830853,87
10997,4.875827,88
20239,0.985441,89
25440,0.409427,90
13815,3.970215,91
2087,14.214403,92
41006,5.22583,93
31642,4.190541,94
10612,5.331753,95
2259,10.687795,96
7984,7.405895,97
6,5.538671,98
507,4.948569,99
12121,5.43085,100
5879,8.932494,101
11971,8.62724,102
21450,8.665198,103
9300,3.800785,104
713,7.436758,105
1245,12.222576,106
11858,4.985157,107
8005,17.136672,108
2088,9.796318,109
10412,5.157926,110
41878,1.031556,111
103413,0.882596,112
10445,2.96586,113
12519,2.86213,114
20967,0.873068,115
10057,6.34785,116
85247,0.422224,117
51980,2.759302,118
11655,5.513024,119
8223,3.647321,120
14587,0.441585,121
68806,0.046196,122
47507,1.040873,123
25403,2.904734,124
124304,1.213481,125
581,11.654349,126
261246,1.461029,127
51242,1.306628,128
4307,2.286788,129
52873,0.516924,130
38884,6.144235,131
2021,1.523446,132
11479,4.728163,133
398959,0.149157,134
12652,1.784647,135
54285,0.396626,136
10363,3.804493,137
161070,0.987434,138
18414,2.299851,139
27098,3.582047,140
35797,2.272213,141
105045,0.122178,142
29621,1.899069,143
9103,7.941972,144
90214,0.947007,145
37667,1.926109,146
90148,0.709209,147
11876,1.690768,148
32513,1.92386,149
40651,0.543042,150
36915,9.264679,151
25697,0.746662,152
21588,6.247819,153
47119,0.125882,154
16299,1.751457,155
935,9.80398,156
55613,0.160571,157
41007,0.851078,158
35645,5.508101,159
40751,5.215992,160
11101,7.667284,161
26890,2.771201,162
41225,1.794298,163
14553,6.418805,164
9268,6.919314,165
123763,0.202495,166
81949,0.826372,167
10779,12.09096,168
49963,0.913281,169
31546,7.031279,170
77056,0.227128,171
124645,0.145092,172
35206,1.116063,173
4837,1.683348,174
12632,0.000578,175
9098,1.165202,176
18975,7.523528,177
31417,9.935891,178
46986,1.663948,179
36266,1.781952,180
213917,0.629807,181
11985,1.404588,182
10232,0.364246,183
11015,7.699967,184
44705,4.69668,185
26933,2.115268,186
260,5.865697,187
488,6.636872,188
22733,2.001733,189
57575,0.912955,190
85328,0.537795,191
890,0.751733,192
18444,4.623089,193
48862,5.52185,194
47199,2.943911,195
11159,11.223572,196
10586,10.789928,197
25147,3.379677,198
43777,0.401227,199
27256,0.757337,200
37218,0.347124,201
16372,7.667964,202
623,11.400353,203
583,10.714173,204
12614,5.378996,205
792,18.206972,206
15764,15.417202,207
102461,1.813577,208
36998,2.887239,209
10379,7.88101,210
762,10.43389,211
44497,1.068288,212
55049,1.163947,213
104931,0.441965,214
18919,1.892008,215
61461,0.412633,216
117500,0.206154,217
659,5.614456,218
30892,2.186663,219
