film_id,country_id,director_gender
11860,72,male
1408,72,male
902,72,male
63076,72,male
11907,72,female
48787,72,male
10452,72,male
28033,72,male
12635,72,male
2259,72,male
38884,72,male
398959,72,male
12652,72,male
105045,72,female
40651,72,male
21588,72,male
11101,72,male
49963,72,female
12632,72,male
9098,72,male
18975,72,male
46986,72,male
10232,72,male
11015,72,male
890,72,male
10586,72,male
44497,72,male
659,72,male
144,72,male
387,72,male
832,72,male
655,72,male
10341,72,male
41801,72,female
653,72,male
64900,72,female
14832,72,male
28005,72,female
9311,72,male
9772,72,male
34838,72,female
30949,72,male
9440,72,male
6264,72,male
38618,72,male
18316,72,male
312,72,female
19,72,male
9631,72,male
5961,72,male
12761,72,male
115872,72,male
26618,72,male
11365,72,male
9423,72,male
192,72,male
8129,72,male
9524,72,male
11526,72,female
12596,72,male
24858,72,male
55912,72,female
11779,72,male
2275,72,male
104,72,male
48781,72,male
32305,72,male
8416,72,male
550,72,male
9343,72,male
8672,72,male
8056,72,male
2668,72,male
2277,72,male
3558,72,male
11900,72,male
17343,72,male
21489,72,male
10385,72,female
11004,72,male
48213,72,male
46625,72,male
11027,72,male
22501,72,male
21484,72,male
11332,72,male
5483,72,male
2024,72,male
17711,72,male
2211,72,male
47434,72,female
10480,72,male
10434,72,male
10687,72,male
6521,72,male
8871,72,male
34045,72,male
10876,72,male
25520,72,male
1900,72,male
47595,72,female
10499,72,male
318,72,male
2749,72,male
17203,72,male
853,72,male
68894,72,female
28308,72,male
8076,72,male
39266,72,female
37691,72,male
9301,72,male
34899,72,male
10728,72,male
5991,72,male
11371,72,male
3543,72,male
56162,72,male
27431,72,male
41951,72,female
2779,72,male
11370,72,male
5998,72,male
20857,72,male
25641,72,female
11845,72,male
167,72,male
228,72,male
194,72,male
9523,72,male
12660,72,female
5279,72,male
31603,72,male
35263,72,male
11710,72,male
27378,72,male
57976,72,male
11535,72,male
14778,72,male
11698,72,male
93427,72,male
10052,72,male
13791,72,male
10590,72,male
40723,72,female
3418,72,male
73134,72,male
9275,72,male
129542,72,male
35944,72,male
12149,72,male
35080,72,male
10491,72,male
35337,72,female
13201,72,male
32037,72,male
52258,72,male
42254,72,male
8665,72,female
10309,72,male
6404,72,male
9962,72,male
3640,72,female
12771,72,male
9544,72,male
23967,72,female
575,72,male
68569,72,male
9260,72,male
1809,72,male
10994,72,male
40064,72,male
11340,72,male
35685,72,male
265,72,male
13440,72,male
2165,72,female
11629,72,male
5261,72,male
7011,72,male
10880,72,male
26356,72,male
71524,72,male
4202,72,male
4561,72,male
423,72,male
12090,72,male
11222,72,male
1484,72,male
10150,72,male
42135,72,male
30363,72,male
11057,72,male
9919,72,male
4911,72,male
11615,72,male
1591,72,female
455,72,female
4762,72,male
8996,72,female
9557,72,male
9341,72,male
8409,72,male
11516,72,male
10743,72,male
11458,72,male
22016,72,male
10989,72,male
10720,72,male
51230,72,male
5146,72,male
30529,72,male
39088,72,male
216,72,male
8698,72,male
9104,72,male
48791,72,male
30970,72,male
20815,72,male
9616,72,male
29507,72,female
7288,72,male
54243,72,male
5653,72,male
821,72,male
2200,72,male
39916,72,male
1584,72,male
9839,72,male
10922,72,male
10719,72,male
1277,72,male
10715,72,male
234,72,male
5765,72,male
2000,72,male
42238,72,male
33517,72,male
27465,72,male
13505,72,male
91390,72,male
16784,72,male
8842,72,male
11132,72,female
13572,72,male
338,72,male
47474,72,male
11169,72,male
26636,72,male
7220,72,male
11141,72,male
4339,72,male
781,72,male
192936,72,male
876,72,male
222,72,male
42090,72,male
5485,72,male
113,72,male
316,72,male
1786,72,male
67217,72,male
24190,72,male
47819,72,male
41799,72,male
10204,72,male
36561,72,male
10742,72,male
2048,72,male
12206,72,male
119623,72,male
52936,72,male
49069,72,male
31117,72,male
9759,72,male
1653,72,male
1599,72,male
26108,72,male
3989,72,male
16358,72,male
12483,72,male
10740,72,male
12777,72,male
11184,72,male
1966,72,male
29267,72,male
905,72,male
779,72,male
21323,72,male
3870,72,male
48205,72,male
42021,72,male
11513,72,male
18917,72,male
2927,72,male
41783,72,male
5051,72,male
83599,72,male
8983,72,male
9943,72,male
3716,72,male
110147,72,male
16171,72,male
49671,72,male
18088,72,male
3577,72,male
81540,72,female
211,72,male
9298,72,male
10918,72,male
10077,72,male
363,72,male
11492,72,male
9667,72,male
5528,72,male
179,72,male
1404,72,male
4896,72,male
55309,72,male
6478,72,male
69234,72,male
18927,72,female
25350,72,male
12576,72,male
35031,72,male
7214,72,male
342,72,male
613,72,male
273,72,male
30923,72,male
10310,72,male
53200,72,male
55624,72,male
6317,72,female
10636,72,female
10012,72,male
42837,72,male
1589,72,male
21666,72,male
48598,72,female
45694,72,male
158,72,male
47237,72,male
7364,72,male
11431,72,male
37512,72,male
9653,72,male
42637,72,male
54156,72,male
42260,72,male
36971,72,male
6183,72,male
43003,72,male
9393,72,male
1495,72,male
1640,72,male
133750,72,male
31414,72,male
11628,72,male
4379,72,male
11019,72,male
9787,72,female
23825,72,male
56321,72,male
276,72,male
2151,72,male
15719,72,male
34308,72,male
11588,72,male
9913,72,male
445,72,male
9042,72,male
1985,72,male
1830,72,male
14759,72,male
8814,72,male
1947,72,male
10319,72,male
59,72,male
11627,72,male
10475,72,male
1559,72,male
3527,72,male
56798,72,male
15276,72,male
6963,72,male
19354,72,male
11661,72,male
5620,72,male
10033,72,male
41764,72,male
8555,72,male
69,72,male
67,72,male
254,72,male
9515,72,male
56373,72,male
18840,72,male
55544,72,male
2117,72,male
17,72,male
7304,72,male
2207,72,male
9756,72,male
9968,72,male
113479,72,male
752,72,male
9950,72,male
582,72,male
8410,72,male
51311,72,male
460,72,male
20521,72,male
84954,72,male
55368,72,male
19126,72,male
1557,72,male
9530,72,male
10115,72,female
13689,72,male
26116,72,male
410,72,male
8008,72,female
10308,72,male
9520,72,male
47850,72,male
9727,72,male
82,72,male
84956,72,male
9907,72,male
42501,72,male
1023,72,male
22238,72,male
9708,72,male
1116,72,male
41508,72,male
5072,72,male
32687,72,male
34068,72,male
9676,72,male
390,72,male
1595,72,male
9978,72,male
8332,72,male
86,72,male
1523,72,male
4285,72,male
78507,72,male
36922,72,male
1427,72,male
8588,72,male
1372,72,male
9986,72,male
1646,72,male
7736,72,male
79767,72,male
2204,72,male
19166,72,male
6166,72,male
12183,72,male
37952,72,male
10075,72,female
5206,72,male
13517,72,male
17266,72,male
3594,72,male
40394,72,male
6443,72,female
9075,72,male
1590,72,female
6145,72,male
15008,72,male
10063,72,male
16083,72,male
44502,72,male
14219,72,male
4349,72,male
13501,72,male
523,72,male
10425,72,male
14930,72,male
1922,72,male
2014,72,male
39127,72,male
4723,72,male
48267,72,male
13168,72,male
111744,72,male
4170,72,male
81522,72,male
10834,72,male
53094,72,male
7992,72,male
8390,72,male
13460,72,male
8461,72,male
7862,72,male
12177,72,male
11534,72,male
7797,72,male
4942,72,male
25904,72,male
7459,72,female
13258,72,male
29291,72,male
6967,72,female
41648,72,male
87541,72,male
74349,72,male
20017,72,male
13848,72,male
13405,72,male
428,72,male
36226,72,male
6687,72,male
7446,72,male
8885,72,male
3041,72,male
54669,72,female
13027,72,male
7735,72,male
76406,72,male
27361,72,male
13150,72,male
14325,72,male
8938,72,male
4627,72,male
15749,72,female
9999,72,male
12224,72,male
72495,72,female
13223,72,male
8055,72,male
2253,72,male
317,72,female
2309,72,male
6733,72,male
214436,72,male
10529,72,male
46595,72,male
4959,72,male
16170,72,male
30508,72,male
13639,72,male
434,72,male
14979,72,female
7916,72,male
16558,72,male
62437,72,male
18947,72,male
16869,72,male
33974,72,male
17436,72,male
10946,72,male
14857,72,male
17609,72,male
45560,72,male
8883,72,male
40465,72,male
8933,72,male
4250,72,male
19929,72,male
49691,72,male
21208,72,male
67463,72,male
99657,72,male
18568,72,female
8899,72,male
17153,72,male
15457,72,male
37903,72,male
19898,72,male
21700,72,male
48214,72,male
47430,72,male
26191,72,female
7860,72,male
22832,72,male
32543,72,male
58435,72,male
42836,72,male
89785,72,male
36811,72,male
42206,72,male
94803,72,male
114790,72,male
20236,72,male
101006,72,male
12161,72,male
44027,72,male
31175,72,male
8349,72,male
2974,72,male
252407,72,female
7344,72,male
11439,72,male
16436,72,male
39931,72,male
33226,72,male
1912,72,male
18406,72,male
32084,72,male
10171,72,male
24757,72,male
14257,72,male
35217,72,male
47238,72,male
12832,72,male
33809,72,female
34647,72,male
3037,72,male
31011,72,male
31262,72,male
5465,72,male
3476,72,male
1914,72,female
55562,72,female
55648,72,male
8886,72,male
138522,72,male
706,72,male
9577,72,male
10311,72,male
12482,72,male
155445,72,male
47792,72,male
55536,72,male
6793,72,male
8316,72,female
41215,72,male
3007,72,male
59408,72,male
26891,72,male
41123,72,female
38368,72,male
43434,72,male
93669,72,female
47979,72,male
52320,72,male
63290,72,male
1906,72,male
49901,72,male
44441,72,male
10018,72,male
52587,72,male
62337,72,male
37866,72,male
8995,72,male
7210,72,male
55584,72,male
89126,72,male
79118,72,male
1543,72,male
1244,72,male
32319,72,male
39993,72,male
89704,72,male
27522,72,male
8418,72,male
48138,72,male
174958,72,male
33997,72,female
50725,72,male
59490,72,male
58232,72,male
37405,72,male
41273,72,male
29043,72,male
50456,72,male
57695,72,male
62215,72,male
35619,72,male
37041,72,male
46175,72,male
1115,72,male
54524,72,male
24810,72,male
49853,72,male
57276,72,male
79072,72,female
18888,72,male
53256,72,male
28480,72,male
42481,72,male
8888,72,female
51735,72,male
191060,72,male
8462,72,male
63849,72,female
62206,72,male
50722,72,female
82688,72,male
9295,72,male
42973,72,female
54662,72,female
172149,72,male
407,72,male
103475,72,male
87063,72,male
49517,72,male
48231,72,male
81401,72,male
105757,72,male
129427,72,male
76853,72,male
73262,72,male
60981,72,male
172004,72,male
162451,72,male
52451,72,male
72113,72,male
140003,72,male
70670,72,male
61891,72,male
72494,72,male
28629,72,male
77365,72,male
62046,72,male
59457,72,male
2349,72,male
72721,72,male
38541,72,male
82321,72,female
56815,72,male
73686,72,female
80125,72,male
57400,72,male
51999,72,male
214349,72,male
63493,72,male
75778,72,male
75802,72,female
68752,72,male
78206,72,male
169747,72,male
45244,72,male
148811,72,male
42226,72,male
131653,72,male
51365,72,male
42152,72,male
70808,72,male
88273,72,male
42203,72,male
84284,72,male
83542,72,male
86837,72,male
152795,72,male
88284,72,male
116800,72,male
4412,72,male
71208,72,male
48742,72,male
85533,72,male
60304,72,male
93858,72,male
70793,72,male
121835,72,female
130750,72,female
130739,72,male
60534,72,male
92484,72,male
126250,72,female
78056,72,male
78432,72,male
20181,72,male
42587,72,male
88176,72,male
100224,72,male
48227,72,male
60152,72,male
166666,72,female
116811,72,male
121873,72,female
160085,72,male
109099,72,male
133339,72,male
120393,72,male
160139,72,male
11144,72,female
66608,72,male
50674,72,male
96721,72,male
121676,72,female
179109,72,female
65481,72,female
115442,72,male
85889,72,male
124075,72,male
121565,72,male
19039,72,male
203833,72,male
42461,72,male
64534,72,male
110919,72,male
201749,72,female
4839,72,female
115023,72,male
59993,72,male
103742,72,male
91551,72,male
117467,72,male
169881,72,male
174928,72,male
191714,72,male
199177,72,male
107445,72,male
240916,72,male
19199,72,male
152760,72,male
103717,72,male
141043,72,male
84362,72,male
122435,72,male
120467,72,male
86814,72,female
48263,72,male
10574,72,male
47459,72,male
148044,72,male
168399,72,male
42216,72,male
5494,72,male
253239,72,male
94344,72,male
48591,72,male
197796,72,male
199341,72,male
76649,72,male
71721,72,male
10244,72,male
133827,72,male
39567,72,male
131366,72,male
157851,72,male
1731,72,female
78463,72,male
102272,72,male
176403,72,female
49104,72,male
64627,72,male
157849,72,male
136616,72,female
80705,72,male
7983,72,female
265169,72,male
47517,72,male
192145,72,male
79016,72,male
223632,72,male
284427,72,male
267480,72,male
254375,72,male
118257,72,male
285025,72,male
12314,72,male
141950,72,male
52475,72,male
12450,72,male
42903,72,male
178446,72,male
130747,72,male
258070,72,male
20053,72,male
287495,72,male
270403,72,female
46217,72,male
60479,72,male
45127,72,male
17143,72,male
136459,72,male
293310,72,female
9510,72,male
17925,72,male
237796,72,male
6110,72,male
35856,72,male
244458,72,female
246860,72,male
266044,72,female
266031,72,male
17806,72,male
42759,72,male
3057,72,male
96546,72,male
230222,72,male
31183,72,male
9076,72,male
56624,72,male
98612,72,male
15558,72,male
63039,72,male
94228,72,male
42303,72,male
4529,72,male
68351,72,male
12427,72,male
52251,72,female
216457,72,male
78537,72,male
65482,72,male
38427,72,male
104711,72,female
70422,72,male
61237,72,male
20220,72,male
12609,72,male
102691,72,male
254721,72,male
3480,72,male
126376,72,male
36120,72,male
63432,72,male
143747,72,male
64725,72,male
169343,72,female
6591,72,male
311301,72,male
8906,72,male
248933,72,male
118150,72,male
42153,72,male
83209,72,male
81189,72,male
228736,72,male
42590,72,male
54796,72,male
286873,72,male
37455,72,male
6547,72,male
246127,72,male
104935,72,male
50135,72,male
88418,72,male
69576,72,male
230179,72,male
38198,72,male
227975,72,male
81475,72,male
169656,72,male
9527,72,male
79572,72,male
11651,72,male
10659,72,male
6172,72,male
78313,72,male
9673,72,male
73770,72,male
1915,72,male
254578,72,male
91628,72,male
9629,72,male
12601,72,male
11677,72,male
10146,72,female
29108,72,male
242575,72,male
10370,72,male
299353,72,male
87503,72,male
269258,72,male
50849,72,male
3699,72,male
