,genres,ID,title,vote_average,vote_count,releasedate,director_gender,prod_countries
613,Drama,3558,"Girl, Interrupted",7.6,747.0,1999,male,Germany
614,"Thriller, Science Fiction, Horror",10384,Supernova,4.9,109.0,2000,male,Switzerland
615,"Comedy, Drama",11900,Even Dwarfs Started Small,6.6,27.0,1970,male,Germany
616,"Drama, Crime, Thriller, Horror",10493,Dead Calm,6.6,178.0,1989,male,Australia
617,"Drama, Thriller, Science Fiction, Horror",16241,The Boys from Brazil,6.6,102.0,1978,male,United Kingdom
618,Horror,27632,Black Sunday,7.2,79.0,1960,male,Italy
619,Drama,35119,A Cry in the Dark,6.4,49.0,1988,male,Australia
620,Drama,75641,Voyage of the Damned,5.5,5.0,1976,male,United Kingdom
621,Horror,17343,Vampyros Lesbos,5.5,29.0,1971,male,Germany
622,"Comedy, Romance, Mystery",10831,The Draughtsman's Contract,6.9,44.0,1982,male,United Kingdom
623,"Drama, Music",21193,Carmen,5.9,6.0,1984,male,Italy
624,"Comedy, Drama",33078,A Zed & Two Noughts,6.8,31.0,1985,male,United Kingdom
625,"Drama, Thriller",16672,Woman in the Dunes,8.1,88.0,1964,male,Japan
626,"Drama, Crime, Thriller",53714,Another Man's Poison,6.4,9.0,1951,male,United Kingdom
627,"Drama, Thriller",21489,The Odessa File,6.7,50.0,1974,male,Germany
628,Comedy,110479,Smashing Time,4.8,2.0,1967,male,United Kingdom
629,"Drama, Thriller, Mystery",18681,Eye of the Beholder,5.3,42.0,1999,male,Australia
630,"Drama, Romance, Foreign",46835,Santitos,6.3,2.0,1999,male,Canada
631,Drama,32015,I Am Cuba,8.0,33.0,1964,male,Russia
632,"Drama, Romance",8293,Howards End,7.0,98.0,1992,male,United Kingdom
633,"Action, Crime, Thriller",11782,Hard Boiled,7.4,169.0,1992,male,Hong Kong
634,"Comedy, Drama, Crime, Horror",10086,Man Bites Dog,7.2,194.0,1992,male,Belgium
635,"Comedy, Foreign",106837,Different for Girls,5.2,5.0,1996,male,United Kingdom
636,"Drama, Romance, Adventure, Thriller",1907,The Beach,6.3,1271.0,2000,male,United Kingdom
637,"Drama, Foreign",68546,Cotton Mary,5.3,3.0,1999,male,France
638,Drama,36210,Not One Less,7.5,36.0,1999,male,China
639,"Comedy, Drama",62463,Raining Stones,5.7,20.0,1993,male,United Kingdom
640,"Comedy, Drama",10385,Hanging Up,5.0,42.0,2000,female,Germany
641,"Comedy, Romance, Music",127602,Happy Go Lovely,5.0,1.0,1951,male,United Kingdom
642,"Comedy, Drama",11004,Wonder Boys,6.9,165.0,2000,male,Germany
643,"Comedy, Drama, Romance",139,Mifune,6.8,16.0,1999,male,Denmark
644,"Drama, Romance, Foreign",19958,The Year My Voice Broke,7.3,10.0,1987,male,Australia
645,"Comedy, Drama",54575,The Killing of Sister George,6.2,13.0,1968,male,United Kingdom
646,"Drama, War",54195,It Happened Here,5.3,7.0,1966,male,United Kingdom
647,"Comedy, Drama",139058,I'll Never Forget What's'isname,7.0,3.0,1967,male,United Kingdom
648,"Crime, Horror",72086,The Night Visitor,7.3,6.0,1971,male,Sweden
649,"Thriller, Mystery, Horror",622,The Ninth Gate,6.3,768.0,1999,male,France
650,Drama,28463,East/West,7.5,11.0,1999,male,Bulgaria
651,"Drama, Crime, Romance",22650,Any Number Can Win,6.9,17.0,1963,male,France
652,Unknown,67455,The Fantastic Night,5.7,3.0,1942,male,France
653,Drama,48213,The Ogre,6.4,14.0,1996,male,France
654,Adventure,58048,Shanghai Surprise,2.9,15.0,1986,male,United Kingdom
655,"Comedy, Crime, Family",14900,The Great Muppet Caper,6.9,72.0,1981,male,United Kingdom
656,"Comedy, Drama, Romance",123047,Turtle Diary,8.3,4.0,1985,male,United Kingdom
657,"Action, Drama, Thriller",24575,Raise the Titanic,5.2,21.0,1980,male,United Kingdom
658,"Action, Drama, History",10971,A Night to Remember,7.5,45.0,1958,male,United Kingdom
659,"Drama, Romance, Foreign",31336,The Carriers Are Waiting,7.3,8.0,1999,male,France
660,"Drama, Adventure, Family",2383,The Bear,6.9,85.0,1988,male,France
661,"Drama, History",1396,Mirror,7.8,147.0,1975,male,Russia
662,"Comedy, Family, Animation",54825,Creature Comforts,7.3,29.0,1989,male,United Kingdom
663,"Drama, Family",17078,The Color of Paradise,7.1,34.0,1999,male,Iran
664,"Drama, Fantasy, Horror",33516,Gothic,5.8,33.0,1986,male,United Kingdom
665,"Drama, Adventure, Thriller",9960,Lord of the Flies,6.6,164.0,1963,male,United Kingdom
666,"Action, Drama, Adventure",9764,Dersu Uzala,8.0,90.0,1975,male,Russia
667,Science Fiction,24212,Devil Girl from Mars,4.0,8.0,1954,male,United Kingdom
668,Horror,32613,Horror Express,6.2,63.0,1972,male,Spain
669,"Thriller, Mystery, Horror",31624,Torso,6.2,39.0,1973,male,Italy
670,"Drama, Music",118098,Madame Sousatzka,5.4,7.0,1988,male,United Kingdom
671,"Drama, Crime",11327,Midnight Express,7.6,309.0,1978,male,United Kingdom
672,"Drama, Adventure, Science Fiction, Mystery",593,Solaris,7.7,364.0,1972,male,Russia
673,"Comedy, Romance",49721,Me Myself I,5.9,11.0,2000,female,France
674,"Drama, Thriller",46625,The End of Violence,5.1,17.0,1997,male,France
675,"Drama, Crime, History",48211,Sacco & Vanzetti,6.8,21.0,1971,male,France
676,"Action, Thriller",28975,Taffin,6.4,8.0,1988,male,Ireland
677,"Drama, Crime, Romance",11027,The Postman Always Rings Twice,6.4,115.0,1981,male,Germany
678,"Comedy, Drama",61560,Smoking / No Smoking,6.6,11.0,1993,male,France
679,Drama,27197,An Actor's Revenge,6.6,11.0,1963,male,Japan
680,"Documentary, Music",27745,The Filth and the Fury,7.3,29.0,2000,male,United Kingdom
681,"Romance, Thriller, Horror",11654,The Hunger,6.4,114.0,1983,male,United Kingdom
682,"Action, Drama, Thriller, War",3536,U-571,6.1,345.0,2000,male,France
683,"Drama, Romance, Horror",49096,Empire of Passion,6.7,18.0,1978,male,France
684,"Comedy, Drama, Romance, Foreign",19600,Bossa Nova,6.1,9.0,2000,male,Brazil
685,"Action, Drama, Adventure",98,Gladiator,7.9,5566.0,2000,male,United Kingdom
686,Unknown,117781,Black Tights,5.0,1.0,1962,male,France
687,"Drama, Science Fiction, Mystery, Family, Animation",22501,Time Masters,7.4,38.0,1982,male,France
688,"Drama, Horror",21484,Possession,6.9,153.0,1981,male,Germany
689,"Comedy, Drama",11332,8 ½ Women,6.3,14.0,1999,male,Germany
690,"Action, Drama, History",29372,Flying Tigers,6.1,7.0,1942,male,Mexico
691,"Fantasy, Science Fiction, Horror",5483,Lisa and the Devil,6.2,23.0,1973,male,Germany
692,"Drama, Romance",31353,Those Who Love Me Can Take the Train,4.5,3.0,1998,male,France
693,Drama,44018,Vagabond,7.2,28.0,1985,female,France
694,"Comedy, Drama",28973,A King in New York,7.1,38.0,1957,male,United Kingdom
695,"Comedy, Drama",499,Cléo from 5 to 7,7.7,58.0,1962,female,France
696,"Adventure, Horror",38006,The Abominable Snowman,6.4,23.0,1957,male,United Kingdom
697,"Crime, Thriller, Horror",42002,Anguish,6.6,29.0,1987,male,Spain
698,Horror,40365,The Blood Spattered Bride,6.0,15.0,1972,male,Spain
699,Horror,24920,City of the Living Dead,5.9,86.0,1980,male,Italy
700,"Comedy, Drama",10102,La Grande Bouffe,6.9,72.0,1973,male,France
701,"Drama, Romance, Fantasy, Mystery",38688,Pandora and the Flying Dutchman,6.5,19.0,1951,male,United Kingdom
702,"Drama, Romance",6003,Romeo and Juliet,7.3,145.0,1968,male,Italy
703,"Adventure, Fantasy, Science Fiction, Animation",22500,Gandahar,7.4,25.0,1987,male,France
704,"Comedy, Crime",38921,Burglar,5.0,16.0,1987,male,Canada
705,"Comedy, Action, Adventure, Thriller",35463,Fatal Beauty,5.3,15.0,1987,male,Japan
706,"Comedy, Romance, Music",51333,Love's Labour's Lost,5.4,14.0,2000,male,France
707,"Drama, History",10264,Hamlet,6.7,95.0,1990,male,France
708,"Drama, Crime, History",9040,Serpico,7.5,429.0,1973,male,Italy
709,"Drama, History",643,Battleship Potemkin,7.6,201.0,1925,male,Russia
710,Drama,31023,Butterfly,7.2,44.0,1999,male,Spain
711,"Comedy, Drama, Romance",25636,Jesus' Son,6.7,22.0,1999,female,Canada
712,"Comedy, Romance",41160,The Match,5.8,6.0,1999,male,United Kingdom
713,"Drama, Foreign",47439,Time Regained,7.3,11.0,1999,male,France
714,"Comedy, Family, Animation",7443,Chicken Run,6.5,1190.0,2000,male,United Kingdom
715,"Action, Drama, History, War",2024,The Patriot,6.8,1130.0,2000,male,Germany
716,"Comedy, Action, Adventure, Family, Animation",17711,The Adventures of Rocky & Bullwinkle,3.9,89.0,2000,male,Germany
717,"Drama, Romance",29946,The Golden Bowl,6.5,21.0,2000,male,United Kingdom
718,"Thriller, Mystery, Horror",25993,Asylum,5.9,25.0,1972,male,United Kingdom
719,"Foreign, Horror",28050,Hatchet for the Honeymoon,7.0,19.0,1970,male,Italy
720,"Drama, Thriller, Mystery",1052,Blow-Up,7.3,227.0,1966,male,United Kingdom
721,Drama,47585,The Five Senses,6.6,8.0,1999,male,Canada
722,"Drama, Fantasy, Horror",1448,The Wisdom of Crocodiles,5.8,28.0,1998,male,United Kingdom
723,"Romance, Thriller, Horror",33828,Criminal Lovers,6.6,28.0,1999,male,France
724,Drama,24167,Two Women,7.6,63.0,1960,male,Italy
725,"Drama, History, War",13783,Breaker Morant,7.2,37.0,1980,male,Australia
726,"Comedy, Drama, Romance",10401,The Girl on the Bridge,7.1,34.0,1999,male,France
727,Drama,32640,Wonderland,6.9,8.0,1999,male,United Kingdom
728,Comedy,27723,Psycho Beach Party,6.0,26.0,2000,male,Australia
729,"Comedy, Crime",2360,Saving Grace,6.3,115.0,2000,male,France
730,Horror,28043,Black Sabbath,6.9,72.0,1963,male,France
731,"Comedy, Adventure, War",11589,Kelly's Heroes,7.2,191.0,1970,male,Serbia
732,"Drama, Romance",8420,...And God Created Woman,6.2,43.0,1956,male,France
733,"Drama, Romance, History",2211,Aimee & Jaguar,6.3,20.0,1999,male,Germany
734,"Comedy, Crime, Thriller",14195,Cecil B. Demented,6.2,51.0,2000,male,France
735,"Comedy, Romance",47434,A Couch in New York,5.6,8.0,1996,female,Belgium
736,Horror,39891,The Devil Rides Out,6.7,50.0,1968,male,United Kingdom
737,"Action, Adventure, Fantasy, Science Fiction",9651,Supergirl,4.7,108.0,1984,male,United Kingdom
738,"Science Fiction, Mystery, Horror",26865,X: The Unknown,5.8,24.0,1956,male,United Kingdom
739,"Comedy, Crime, Thriller",10480,Nurse Betty,5.9,113.0,2000,male,Germany
740,"Drama, Foreign",80713,Alone,6.7,10.0,1999,male,Spain
741,"Drama, Crime, Thriller",51179,Circus,4.3,4.0,2000,male,United Kingdom
742,"Drama, War",170767,Goya in Bordeaux,5.5,8.0,1999,male,Italy
743,"Drama, Fantasy, Science Fiction",10434,"Faraway, So Close!",6.4,33.0,1993,male,Germany
744,"Drama, War",10687,Tigerland,6.7,155.0,2000,male,Germany
745,"Drama, Thriller",6521,The Contender,6.7,61.0,2000,male,Germany
746,"Mystery, Horror",18801,Haunted,6.4,43.0,1995,male,United Kingdom
747,"Comedy, Drama, Music",71,Billy Elliot,7.4,774.0,2000,male,France
748,Horror,19204,The Beyond,6.6,121.0,1981,male,Italy
749,"Comedy, Drama",47302,Stardom,6.4,5.0,2000,male,France
750,"Action, Thriller, Science Fiction",8870,Red Planet,5.4,271.0,2000,male,Australia
751,"Comedy, Drama",77434,What's Cooking?,6.4,7.0,2000,female,United States of America
752,"Action, Drama, Adventure, Thriller, War",11372,The Eagle Has Landed,6.4,77.0,1976,male,United Kingdom
753,"Comedy, Fantasy, Family",8871,How the Grinch Stole Christmas,6.2,1440.0,2000,male,Germany
754,Documentary,34045,One Day in September,7.3,14.0,1999,male,Germany
755,Drama,10876,Quills,6.8,129.0,2000,male,Germany
756,Unknown,79920,Boys Life 3,6.7,3.0,2000,male,France
757,"Action, Adventure, Thriller",11678,Vertical Limit,5.9,287.0,2000,male,New Zealand
758,"Action, Drama, History",2669,The Bounty,6.5,109.0,1984,male,United States of America
759,Drama,92603,Secrets of the Heart,6.4,9.0,1997,male,France
760,Drama,10132,Talk Radio,6.7,46.0,1988,male,Canada
761,"Crime, Thriller",107,Snatch,7.7,2953.0,2000,male,United Kingdom
762,"Comedy, Drama, Romance",392,Chocolat,6.8,979.0,2000,male,United Kingdom
763,"Drama, Romance",25520,The House of Mirth,6.4,25.0,2000,male,United Kingdom
764,"Comedy, Drama",21991,State and Main,6.5,55.0,2000,male,France
765,"Drama, Crime, Thriller",1900,Traffic,6.9,573.0,2000,male,Germany
766,"Drama, Romance, Western",44853,The Claim,5.6,17.0,2000,male,United Kingdom
767,"Action, Drama, Crime",9989,Antitrust,5.8,156.0,2001,male,Canada
768,"Drama, Romance",47595,Faithless,6.4,7.0,2000,female,Finland
769,"Drama, Foreign",10499,The Legend of Rita,5.4,6.0,2000,male,Germany
770,Drama,12506,Cry Freedom,7.0,52.0,1987,male,United Kingdom
771,Drama,39507,The Dead,6.5,34.0,1987,male,Ireland
772,Drama,26964,Family Viewing,5.7,6.0,1987,male,Canada
773,Drama,71881,Five Corners,5.5,15.0,1987,male,United Kingdom
774,"Action, Drama, Thriller",4918,The Fourth Protocol,6.1,49.0,1987,male,United Kingdom
775,"Drama, War",32054,Hope and Glory,6.5,44.0,1987,male,United Kingdom
776,Comedy,14464,Hot Pursuit,6.1,21.0,1987,male,Mexico
777,"Drama, History",63639,A Month in the Country,5.9,10.0,1987,male,United Kingdom
778,"Drama, Thriller",318,The Million Dollar Hotel,5.9,76.0,2000,male,United States of America
779,"Drama, Foreign",47588,Signs & Wonders,5.0,1.0,2001,male,Greece
780,"Comedy, Drama, Romance",10697,The Taste of Others,6.6,48.0,2000,female,France
781,Comedy,44412,Company Man,5.3,9.0,2000,male,France
782,"Comedy, Drama, Romance, Foreign",21620,The Price of Milk,6.0,9.0,2000,male,New Zealand
783,"Drama, Romance",48217,The Widow of Saint-Pierre,6.7,11.0,2000,male,France
784,"Comedy, Action, Crime, Romance",6073,The Mexican,5.8,453.0,2001,male,Mexico
785,"Comedy, Action, Family",39180,See Spot Run,4.8,44.0,2001,male,Australia
786,"Action, Crime, Thriller",2749,15 Minutes,5.7,194.0,2001,male,Germany
787,"Comedy, Drama",17203,Blow Dry,5.8,39.0,2001,male,Germany
788,Drama,13889,Madadayo,7.4,21.0,1993,male,Japan
789,"Crime, Thriller, Mystery",6028,The Mirror Crack'd,6.0,43.0,1980,male,United Kingdom
790,"Drama, Crime",42148,Pixote,8.4,24.0,1981,male,Brazil
791,"Comedy, Drama, Romance",15598,Alfie,6.5,65.0,1966,male,United Kingdom
792,"Drama, Romance",56137,I Know Where I'm Going!,6.7,23.0,1945,male,United Kingdom
793,"Action, Drama, Crime, Thriller, Mystery",17466,Death Warrant,5.4,117.0,1990,male,Canada
794,Comedy,33676,Losin' It,4.5,31.0,1983,male,Canada
795,Drama,38718,Reversal of Fortune,6.6,59.0,1990,male,Japan
796,Mystery,4192,Death on the Nile,6.7,121.0,1978,male,United Kingdom
797,War,853,Enemy at the Gates,7.2,1023.0,2001,male,Ireland
798,"Action, Crime, Thriller",10877,Exit Wounds,5.3,111.0,2001,male,Canada
799,"Comedy, Drama, History",5257,The Dish,6.6,62.0,2000,male,Australia
800,"Drama, Thriller",2575,The Tailor of Panama,6.2,97.0,2001,male,Ireland
801,"Drama, Thriller",55,Amores perros,7.6,537.0,2000,male,Mexico
802,"Foreign, Documentary",44379,The Gleaners & I,7.0,19.0,2000,female,France
803,"Comedy, Drama, Crime, Thriller",15940,Beautiful Creatures,5.9,25.0,2000,male,United Kingdom
804,"Drama, History, Foreign",68894,Shadow Magic,6.0,1.0,2000,female,China
805,"Drama, Romance, Thriller, Mystery",28308,The Body,4.9,35.0,2001,male,United States of America
806,"Drama, Crime, Thriller",9519,Chopper,6.7,111.0,2000,male,Australia
807,"Drama, Foreign",13898,The Circle,6.6,17.0,2000,male,Iran
808,"Drama, Romance, Fantasy",47643,Lilies,7.3,14.0,1996,male,Canada
809,Action,10477,Driven,4.5,180.0,2001,male,Australia
810,"Comedy, Drama, Fantasy, Family",118052,Rat,6.0,3.0,2001,male,United Kingdom
811,"Comedy, Drama, Romance, Fantasy, Science Fiction, Foreign, Family",8076,Tuvalu,5.8,9.0,1999,male,Germany
812,"Drama, Mystery",4973,Under the Sand,6.4,31.0,2000,male,France
813,"Drama, Romance, History",8095,Cleopatra,6.7,148.0,1963,male,United Kingdom
814,"Action, Adventure, Fantasy",849,Krull,5.8,130.0,1983,male,Spain
815,Documentary,39266,Triumph of the Will,6.9,62.0,1935,female,Germany
816,"Comedy, Adventure, Fantasy",46498,Candy,5.3,12.0,1968,male,France
817,"Drama, Fantasy",11163,Fellini Satyricon,7.0,64.0,1969,male,Italy
818,"Comedy, Drama",11035,Roma,6.6,45.0,1972,male,Italy
819,"Comedy, Drama",11936,City of Women,6.8,28.0,1980,male,France
820,Drama,11174,Pelle the Conqueror,6.9,32.0,1987,male,Denmark
821,"Comedy, Drama",37691,Bread and Roses,6.3,14.0,2000,male,United Kingdom
822,"Drama, Romance, Music",824,Moulin Rouge!,7.4,1348.0,2001,male,Australia
823,"Drama, Romance, War, Music",29572,The Man Who Cried,5.8,57.0,2000,female,France
824,"Drama, Romance",25538,Yi Yi,7.7,98.0,2000,male,Taiwan
825,"Thriller, Horror",6498,Nightwatch,7.1,51.0,1994,male,Denmark
826,"Action, Crime, Thriller",9705,Swordfish,6.1,946.0,2001,male,Australia
827,"Comedy, Drama, War, Family",29937,Divided We Fall,7.6,11.0,2000,male,Czech Republic
828,Comedy,49922,Whatever Happened to Harold Smith?,6.6,8.0,2000,male,United Kingdom
829,"Comedy, Drama",38043,Shag,5.9,14.0,1989,female,United Kingdom
830,"Crime, Thriller",17494,Unlawful Entry,5.8,63.0,1992,male,Japan
831,"Drama, Crime, Thriller",11826,Sexy Beast,7.0,219.0,2000,male,Spain
832,"Drama, Romance",9301,The Princess and the Warrior,7.1,33.0,2000,male,Germany
833,Comedy,11444,The Closet,6.2,111.0,2001,male,France
834,Documentary,15564,Wolves,6.5,1.0,1999,male,Canada
835,"Drama, Foreign",40880,Pandaemonium,4.5,2.0,2001,male,United Kingdom
836,"Action, Crime, Thriller",2140,Kiss of the Dragon,6.4,304.0,2001,male,France
837,"Drama, Romance",17612,Lost and Delirious,6.8,132.0,2001,female,Canada
838,"Drama, Romance, Foreign",34899,The Vertical Ray of the Sun,6.7,17.0,2000,male,Vietnam
839,"Drama, Crime",36245,Diary of a Chambermaid,7.2,33.0,1964,male,France
840,"Drama, Fantasy, Horror",10728,Faust,7.8,66.0,1926,male,Germany
841,Drama,5991,The Last Laugh,7.7,63.0,1924,male,Germany
842,Drama,6106,Salvador,7.0,73.0,1986,male,United Kingdom
843,"Drama, Science Fiction",28430,The Day the Earth Caught Fire,7.3,28.0,1961,male,United Kingdom
844,Horror,28794,The House by the Cemetery,5.8,71.0,1981,male,Italy
845,"Drama, Crime, Romance, Mystery",34689,The Barefoot Contessa,6.7,36.0,1954,male,United States of America
846,"Drama, Thriller, Mystery",25690,The Blackout,5.2,13.0,1997,male,France
847,Drama,10238,Cries and Whispers,7.8,118.0,1972,male,Sweden
848,"Drama, Music",18929,The Entertainer,5.5,12.0,1960,male,United Kingdom
849,Drama,4789,The Garden of the Finzi-Continis,6.6,32.0,1970,male,Italy
850,"Drama, History",18988,The Lion in Winter,7.6,89.0,1968,male,United Kingdom
851,Drama,50031,Rembrandt,6.5,4.0,1936,male,United Kingdom
852,"Action, Drama, Thriller",11713,Fist of Fury,7.4,164.0,1972,male,Hong Kong
853,Action,12481,The Big Boss,7.3,148.0,1971,male,Hong Kong
854,"Action, Drama, Crime, Thriller",13333,Game of Death,6.3,121.0,1978,male,Hong Kong
855,Science Fiction,10540,Outland,6.2,153.0,1981,male,United Kingdom
856,"Action, Crime",9462,The Way of the Dragon,7.4,235.0,1972,male,Hong Kong
857,"Action, Crime, Thriller",11371,The Score,6.7,436.0,2001,male,Germany
858,"Drama, Crime",9517,Bully,6.7,125.0,2001,male,United Kingdom
859,"Comedy, Drama, Romance",25985,Jump Tomorrow,6.9,7.0,2001,male,United Kingdom
860,Documentary,103488,Encounter in the Third Dimension,8.0,1.0,1999,male,United States of America
861,Drama,10868,The Accused,6.8,130.0,1988,male,Canada
862,"Action, Drama, Adventure, Thriller",9395,Above the Law,5.9,140.0,1988,male,Hong Kong
863,"Comedy, Action, Adventure, Fantasy",14506,The Adventures of Baron Munchausen,6.9,185.0,1988,male,Italy
864,"Drama, Crime, Thriller, Mystery",4281,Appointment with Death,6.2,15.0,1988,male,United Kingdom
865,Drama,17170,"Bright Lights, Big City",4.7,29.0,1988,male,Japan
866,Drama,110428,Camille Claudel 1915,7.0,20.0,2013,male,France
867,Drama,110428,Camille Claudel 1915,7.0,20.0,2013,male,France
868,Drama,110428,Camille Claudel 1915,7.0,20.0,2013,male,France
869,Drama,110428,Camille Claudel 1915,7.0,20.0,2013,male,France
870,"Comedy, Drama",27362,Drowning by Numbers,7.0,32.0,1988,male,United Kingdom
871,"Drama, Crime, Thriller, Mystery",10675,Frantic,6.6,232.0,1988,male,France
872,"Comedy, Horror",11347,The Lair of the White Worm,5.8,59.0,1988,male,United Kingdom
873,"Comedy, Drama",3543,Bagdad Cafe,7.0,76.0,1987,male,Germany
874,"Comedy, Drama",70842,Salome's Last Dance,5.7,10.0,1988,male,United Kingdom
875,"Drama, Crime, Romance",25497,Stormy Monday,5.9,12.0,1988,male,United Kingdom
876,"Comedy, Action, Crime, Thriller, Mystery",38560,Sunset,5.6,15.0,1988,male,Italy
877,"Drama, Thriller, History",47493,To Kill a Priest,6.7,3.0,1988,female,France
878,"Drama, Mystery",41974,Track 29,6.2,6.0,1988,male,United Kingdom
879,"Comedy, Crime, Thriller, Mystery",12582,Without a Clue,6.3,59.0,1988,male,United Kingdom
880,"Comedy, Science Fiction",10001,Young Einstein,4.5,46.0,1988,male,Australia
881,"Drama, History, War",10142,Casualties of War,6.8,203.0,1989,male,Thailand
882,"Comedy, Drama, Romance, Science Fiction, Music",2210,Earth Girls Are Easy,5.5,110.0,1988,male,United Kingdom
883,"Comedy, Drama, Romance",116014,Enemies: A Love Story,5.7,11.0,1989,male,Canada
884,"Comedy, Adventure, Fantasy",11828,Erik the Viking,6.0,72.0,1989,male,Sweden
885,"Comedy, Action",55699,The Experts,4.3,11.0,1989,male,United States of America
886,Drama,4486,Jesus of Montreal,6.8,21.0,1989,male,Canada
887,"Action, Adventure, Thriller, Science Fiction, Horror",14372,Leviathan,6.0,125.0,1989,male,Italy
888,"Comedy, Music",8216,Meet the Feebles,6.4,68.0,1989,male,New Zealand
889,"Drama, Thriller, Science Fiction, Mystery",4296,Millennium,5.0,45.0,1989,male,Canada
890,"Action, Thriller",8867,The Punisher,5.5,109.0,1989,male,United States of America
891,"Drama, Crime, Thriller",327,Brother,6.8,107.0,2000,male,United Kingdom
892,"Comedy, Drama, Romance",552,Bread and Tulips,7.0,35.0,2000,male,Italy
893,"Crime, Thriller, Mystery, Horror",36095,Cure,7.4,63.0,1997,male,Japan
894,Comedy,33379,Greenfingers,6.6,15.0,2001,male,United Kingdom
895,Comedy,56162,Rosalie Goes Shopping,6.5,4.0,1989,male,Germany
896,"Drama, Romance, History",32261,Scandal,5.8,26.0,1989,male,United Kingdom
897,"Comedy, Drama, Romance",18683,Shirley Valentine,6.5,21.0,1989,male,United Kingdom
898,"Comedy, Drama, Romance",31083,Some Girls,4.9,14.0,1988,male,United Kingdom
899,"Comedy, Drama",65015,Sweetie,4.9,15.0,1989,female,Australia
900,"Comedy, Romance",24077,The Tall Guy,5.7,23.0,1989,male,United Kingdom
901,"Comedy, Drama, Romance",26535,Billy Liar,6.7,34.0,1963,male,United Kingdom
902,"Drama, Adventure, History",41784,Black Robe,7.5,18.0,1991,male,Canada
903,"Thriller, Mystery, Horror",27431,The Cat o' Nine Tails,6.9,52.0,1971,male,Italy
904,"Comedy, Drama",11308,The Hotel New Hampshire,5.8,26.0,1984,male,Canada
905,"Comedy, Drama, Thriller, Foreign",23239,Idiot Box,4.7,3.0,1996,male,Australia
906,"Comedy, Action, Romance, Adventure, Western",19317,"Zorro, The Gay Blade",5.4,15.0,1981,male,Mexico
907,Thriller,2057,Original Sin,5.8,200.0,2001,male,France
908,Drama,41951,Chocolat,6.5,12.0,1988,female,Cameroon
909,"Drama, History, Music",44258,Marat/Sade,5.9,7.0,1967,male,United Kingdom
910,Horror,39176,The Awakening,5.8,19.0,1980,male,United Kingdom
911,"Drama, Thriller, Mystery",33214,Bad Timing,6.6,32.0,1980,male,United Kingdom
912,"Comedy, Action",19267,The Big Brawl,5.9,27.0,1980,male,Hong Kong
913,"Drama, Thriller, Mystery, Horror",1933,The Others,7.4,1708.0,2001,male,Spain
914,"Drama, Romance",80070,On the Edge,7.4,13.0,2001,male,Ireland
915,"Comedy, Adventure",9896,Rat Race,6.0,531.0,2001,male,Canada
916,"Comedy, Crime, Romance, Thriller, Mystery",2779,The Curse of the Jade Scorpion,6.5,167.0,2001,male,Germany
917,"Drama, Family",37920,An American Rhapsody,6.0,14.0,2001,female,United States of America
918,"Comedy, Romance",13966,Maybe Baby,5.6,20.0,2000,male,United Kingdom
919,"Comedy, Drama, Romance",742,Together,6.8,71.0,2000,male,Sweden
920,"Thriller, Mystery, Horror, Music",16307,The Wicker Man,7.1,313.0,1973,male,United Kingdom
921,"Action, Drama, Adventure",11370,The Musketeer,5.2,56.0,2001,male,United Kingdom
922,"Drama, Crime, Romance",44321,Our Lady of the Assassins,6.5,16.0,2000,male,Colombia
923,"Drama, Crime, Thriller, Mystery",5998,"Dr. Mabuse, the Gambler",7.6,35.0,1922,male,Germany
924,"Comedy, Romance",20857,Hardball,6.3,126.0,2001,male,Germany
925,"Action, Drama, Crime, Thriller",2034,Training Day,7.3,1665.0,2001,male,Australia
926,"Drama, Romance",12537,The French Lieutenant's Woman,6.7,46.0,1981,male,United Kingdom
927,"Mystery, Horror",16180,The Legend of Hell House,6.5,63.0,1973,male,United Kingdom
928,"Comedy, Drama, Romance",21028,Moscow Does Not Believe in Tears,7.9,47.0,1980,male,Russia
929,"Comedy, Drama, Romance",82523,Montenegro,7.7,7.0,1981,male,Sweden
930,"Thriller, Mystery, Horror",20115,Opera,6.6,79.0,1987,male,Italy
931,"Comedy, Drama, Romance",25767,The Grass Is Greener,5.5,24.0,1960,male,United Kingdom
932,"Comedy, Romance",22874,Indiscreet,6.3,24.0,1958,male,United Kingdom
933,"Action, Drama, Adventure",43860,King Solomon's Mines,4.8,4.0,1937,male,United Kingdom
934,Thriller,12103,Don't Say a Word,6.0,223.0,2001,male,Australia
935,"Drama, Mystery",11313,Hearts in Atlantis,6.5,132.0,2001,male,Australia
936,"Comedy, Romance",35066,Born Romantic,5.9,8.0,2000,male,United Kingdom
937,"Thriller, Horror",13550,The Changeling,7.0,144.0,1980,male,Canada
938,"Adventure, Thriller, Mystery, Horror",31703,Death Ship,5.5,27.0,1980,male,Canada
939,"Action, Adventure, Thriller",20681,The Dogs of War,4.9,38.0,1980,male,United Kingdom
940,Drama,570,Fat Girl,6.2,44.0,2001,female,France
941,"Drama, Thriller, Mystery",1018,Mulholland Drive,7.7,1517.0,2001,male,France
942,"Comedy, Drama, Romance",25641,My First Mister,6.4,14.0,2001,female,Germany
943,"Action, Drama, Crime, Thriller, Mystery",27396,Brannigan,5.1,21.0,1975,male,United Kingdom
944,Documentary,45929,Titanica,6.0,4.0,1995,male,Canada
945,"Thriller, Mystery, Horror",768,From Hell,6.6,758.0,2001,male,Czech Republic
