genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
"Comedy, Action, Romance",26866,French,"In the 18th century, Louis de Bourguignon is working with the Malichot's gang, but their ways are too 'unethical' for him. He creates his own band, acting under the name of Cartouche, making audacious robberies of the rich people, and even distributing the takings with the poor. Thus, cartouche attracts the people's sympathies, Venus's love, and hate from the Police and Malichot... Cartouche can escape all the traps they set at him - except the entrapments of love. Eventually, he will be saved by a woman, at her own cost.",3.086951,"France, Italy",Swords of Blood,6.4,15.0,1962,Philippe de Broca
"Comedy, Action, Crime, Thriller",10743,English,"What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew. It becomes clear that Lionel wasn't just any mark, he was an accountant for eccentric crime boss Winston King. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt.",6.959638,"Germany, United States of America, Canada",Confidence,6.4,127.0,2003,James Foley
"Drama, Thriller",11458,English,A New York press agent must scramble when his major client becomes embroiled in a huge scandal.,5.757895,"Germany, United States of America",People I Know,5.5,48.0,2002,Daniel Algrant
"Drama, Crime, Romance, Thriller",20689,English,A police detective in a South American country is dedicated to hunting down a revolutionary guerilla leader.,1.303136,"United States of America, Spain",The Dancer Upstairs,6.8,14.0,2002,John Malkovich
"Drama, Foreign",13438,Persian,"During the war between Iran and Iraq, a group of Iranian Kurd musicians set off on an almost impossible mission. They will try to find Hanareh, a singer with a magic voice who crossed the border and may now be in danger in the Iraqi Kurdistan. As in his previous films, this Kurdish director is again focusing on the oppression of his people.",0.073685,Iran,Marooned in Iraq,8.5,2.0,2002,Bahman Ghobadi
"Drama, Crime, Thriller",15394,English,"Dan Mahowny was a rising star at the Canadian Imperial Bank of Commerce. At twenty-four he was assistant manager of a major branch in the heart of Toronto's financial district. To his colleagues he was a workaholic. To his customers, he was astute, decisive and helpful. To his friends, he was a quiet, but humorous man who enjoyed watching sports on television. To his girlfriend, he was shy but engaging. None of them knew the other side of Dan Mahowny--the side that executed the largest single-handed bank fraud in Canadian history, grossing over $10 million in eighteen months to feed his gambling obsession.",3.015314,"United Kingdom, Canada",Owning Mahowny,6.8,37.0,2003,Richard Kwietniowski
"Drama, Crime",22016,French,"A man, Milan (played by Johnny Hallyday) steps off a train, into a small French village. As he waits for the day when he will rob the town bank, he runs into an old retired poetry teacher named M. Manesquier (Jean Rochefort). The two men strike up a strange friendship and explore the road not taken, each wanting to live the other's life.",1.560336,"Germany, France, United Kingdom, Japan",Man on the Train,6.9,25.0,2002,Patrice Leconte
"Comedy, Drama, Romance",22958,English,"Quiet, unassuming Adam is changing in a major way, thanks to his new girlfriend, art student Evelyn. Adam's friends are a little freaked by the transformation.",2.897666,"France, United Kingdom, United States of America",The Shape of Things,6.4,38.0,2003,Neil LaBute
"Comedy, Drama, Romance",10989,Icelandic,"Thirty-year-old Hlynur still lives with his mother and spends his days drinking, watching porn and surfing the net while living off unemployment checks. A girl is interested in him, but he stands back from commitment. His mother's Spanish flamenco teacher, Lola, moves in with them for Christmas. On New Year's Eve, while his mother is away, Hlynur finds out Lola is a lesbian, but also ends up having sex with her. He soon finds out he and his mother are sharing more than a house. Eventually he must find out where he fits into the puzzle, and how to live life less selfishly.",6.565758,"Germany, France, Denmark, Norway, Iceland",101 Reykjavik,6.7,34.0,2000,Baltasar Kormákur
"Drama, Romance, Fantasy, Music",42017,English,"A musical adaptation of Colin MacInnes' novel about life in late 1950s London. Nineteen-year-old photographer Colin is hopelessly in love with model Crepe Suzette, but her relationships are strictly connected with her progress in the fashion world. So Colin gets involved with a pop promoter and tries to crack the big time. Meanwhile, racial tension is brewing in Colin's Notting Hill housing estate...",1.377893,United Kingdom,Absolute Beginners,5.9,14.0,1986,Julien Temple
"Action, Romance, Adventure, Fantasy, Family, Animation",10515,Japanese,"The orphan Sheeta inherited a mysterious crystal that links her to the mythical sky-kingdom of Laputa. With the help of resourceful Pazu and a rollicking band of sky pirates, she makes her way to the ruins of the once-great civilization. Sheeta and Pazu must outwit the evil Muska, who plans to use Laputa's science to make himself ruler of the world.",11.061551,Japan,Castle in the Sky,7.8,877.0,1986,Hayao Miyazaki
Horror,55616,English,"A ballet rendition of Bram Stoker's gothic novel DRACULA, presented in a style reminiscent of the silent expressionistic cinema of the early 20th Century. This work employs the subtle and sometimes bold use of color to emphasize its themes, but mainly is presented in black-and-white, or tinted in monochrome. No spoken dialogue can be heard, and the story of a sinister but intriguing immigrant who preys upon young English women unfolds through dance, pantomime and subtitles.",0.810769,Canada,Dracula: Pages from a Virgin's Diary,6.9,8.0,2002,Guy Maddin
"Comedy, Action, Romance, Thriller",10720,English,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.",9.392508,"Germany, United States of America",Down with Love,6.1,202.0,2003,Peyton Reed
Documentary,51230,English,"This documentary about the culture of intense cinephilia in New York City reveals the impassioned world of five obsessed movie buffs. The filmmakers expose this delightfully deranged cult by capturing the daily lives of its members. Interviews in movie houses, on the street and in the homes of the subjects tell the story of each individual. Many cannot hold a job, or choose not to. All of them have demoted the importance of the real world, giving all of their attention to the fantasy world of the movies. These human encyclopedias of cinema see two to five films a day, and from 600 to 2,000 films per year. Many have no physical sex lives, living instead in a world of romance with stars like James Dean or Audrey Hepburn. This is the story of their lives, their memories, their unbending habits and the films they love.",0.446688,"Germany, United States of America",Cinemania,7.1,10.0,2002,Stephen Kijak
"Comedy, Action",5146,English,"Right before his daughter's wedding, a mild-mannered foot doctor discovers that his new in-laws are international smugglers.",6.585107,"Germany, United States of America",The In-Laws,5.6,68.0,2003,Andrew Fleming
"Comedy, Drama, Foreign",12544,Italian,"Grazia is a free-spirited mother-of-three married to shy fisherman Pietro and living on the idyllic but isolated island of Lampedusa in the Mediterranean Sea. She shows signs of manic depressive behavior — one moment she's laughing wildly and swimming half-naked in the sea, while the next she's curled in a ball on her bed. Out of her earshot, the adult members of her extended family vaguely discuss sending her to a facility of some sort in Northern Italy.",1.498672,"France, Italy",Respiro,6.3,26.0,2002,Emanuele Crialese
"Action, Crime",9654,English,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",13.995044,"United Kingdom, United States of America",The Italian Job,6.6,1949.0,2003,F. Gary Gray
Drama,18385,Chinese,"When a violin prodigy Xiaochun and his father head to Beijing seeking fame and fortune, they soon discover a fierce world of cutthroat ambition. But when Xiaochun is ""adopted"" by a famous music tutor, success finally seems within reach - until a shocking discovery begins to unravel his entire world, and the boy must make the most difficult choice of his life. Can he achieve the fame his father had always hoped for without losing the extraordinary passion that sets him apart?",1.916724,"China, South Korea",Together,6.5,22.0,2002,Chen Kaige
"Comedy, Action, Crime, Thriller",47423,Chinese,"John Woo directs this action-packed comedy that stars Chow Yun-Fat, Leslie Cheung and Cherie Chung as a trio of art thieves who grew up together as orphans under the tutelage of a cruel crime boss named Chow (Kenneth Tsang). Although Red Bean (Chung) wants the trio to leave their life of crime behind, a million-dollar opportunity -- stealing a priceless French painting -- proves too alluring for the men ... but the heist ends in disaster.",7.625338,Hong Kong,Once a Thief,6.7,28.0,1991,John Woo
"Drama, War, Foreign",49798,English,"Based on Pat Barker's novel of the same name, 'Regeneration' tells the story of soldiers of World War One sent to an asylum for emotional troubles. Two of the soldiers meeting there are Wilfred Owen and Siegfried Sassoon, two of England's most important WW1 poets.",1.214894,"United Kingdom, Canada",Regeneration,5.7,7.0,1997,Gillies MacKinnon
Comedy,59950,French,A French farce set in Victorian London where a botanist and his wife get into trouble when they pretend to go missing in order to hide from their sanctimonious cousin - an Anglican bishop who is leading a campaign against such writing.,1.135768,France,Drole de Drame,7.1,7.0,1937,Marcel Carné
"Comedy, Romance, Foreign",50285,English,"A British design executive, who seemingly has everything going for him has his life totally changed when a refrigerator falls from an aircraft and lands on his wife...",0.595602,Australia,Siam Sunset,6.7,6.0,1999,John Polson
"Comedy, Drama, Romance",43361,Italian,"The first two days of a marriage. Ivan, a punctilious clerk brings his virginal bride to Rome for a honeymoon, an audience with the Pope, and to present her to his uncle. They arrive early in the morning, and he has time for a nap. She sneaks off to find the offices of a romance magazine she reads religiously: she wants to meet ""The White Sheik,"" the hero of a soap-opera photo strip. Star-struck, she ends up 20 miles from Rome, alone on a boat with the sheik. A distraught Ivan covers for her, claiming she's ill. That night, each wanders the streets, she tempted by suicide, he by prostitutes. The next day, at 11, is their papal audience. Can things still right themselves?",2.384287,Italy,The White Sheik,7.2,29.0,1952,Federico Fellini
"Adventure, Family",6646,English,"Enchanted by the idea of locating treasure buried by Captain Flint, Squire Trelawney, Dr. Livesey and Jim Hawkins charter a sailing voyage to a Caribbean island. Unfortunately, a large number of Flint's old pirate crew are aboard the ship, including Long John Silver.",2.67963,"United Kingdom, United States of America",Treasure Island,6.9,35.0,1950,Byron Haskin
"Thriller, Horror",29514,English,"Two horror segments based on Edgar Allan Poe stories set in and around the city of Pittsburgh. ""The Facts in the Case of M. Valdemar"" concerns a cheating wife who is trying to scam her dying husband out of millions by having her doctor/hypnotist lover hypnotize the geezer into signing his dough over to her. The old man dies while under hypnosis and is stuck in the limbo between the here and the hereafter. The door to the physical world is opened and the undead attempt to enter it. ""Black Cat"" is the story of Rodd Usher, an alcoholic photographer/artist, who descends into madness after he kills a stray cat that his live-in girlfriend Annabelle brings home. One murder leads to another, and the complex cover-ups begin.",8.027314,"Italy, United States of America",Two Evil Eyes,6.1,36.0,1990,George A. Romero
"Comedy, Family, Documentary",147729,English,"Animals Are Beautiful People (aka Beautiful People) is a 1974 nature documentary about the wildlife in Southern Africa. It was filmed in the Namib Desert, the Kalahari Desert and the Okavango River and Okavango Delta. It was produced for cinema and has a length of slightly more than 90 minutes.",1.582132,South Africa,Animals Are Beautiful People,7.5,21.0,1974,Jamie Uys
"Comedy, Drama",47715,Italian,"Federico Fellini welcomes us into his world of film making with a mockumentary about his life in film, as a Japanese film crew follows him around.",1.022275,Italy,Intervista,5.6,11.0,1987,Federico Fellini
Western,11916,English,"Hogan, on his way to do some reconnaissance for a future mission to capture a French fort, encounters Sister Sara, a nun in trouble. Before he knows it, Hogan is accompanying Sister Sara in the dangerous frontier while she seeks to achieve a hidden goal.",10.072738,"United States of America, Mexico",Two Mules for Sister Sara,6.6,129.0,1970,Don Siegel
"Documentary, Music",34759,English,"Documentary from David Bowie's concert at the Hammersmith Odeon in London on 3 July 1973, when he performed as alter ego Ziggy Stardust for the very last time.  The quintessential moment in glam-rock history, ZIGGY STARDUST AND THE SPIDERS FROM MARS is David Bowie at his best. This film of the 1973 concert (released 10 years later) documents the hallucinogenic collage of kitsch, Warhol/Pop irony, and flamboyant excess that was the Bowie phenomenon: his trademark synthetic androgyny is a musical symbiosis of feminine passion and masculine dominance that define his funky, gender-bending art and, ultimately, the glam-rock genre as a whole. Early on, the film cuts to elaborate backstage costume changes between sets, highlighting a playlist that includes such classics as ""Changes,"" ""Space Oddity,"" ""Time,"" and ""Suffragette City.""",1.167518,United Kingdom,Ziggy  Stardust and the Spiders from Mars,7.6,15.0,1973,D.A. Pennebaker
"Drama, Documentary",26317,Russian,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",4.694378,Soviet Union,Man with a Movie Camera,8.1,114.0,1929,Dziga Vertov
"Action, Drama, History, War",15925,English,"When Norwegian resistance leader Lieutenant Erik Bergman reports the location of a German V-2 rocket fuel plant, the Royal Air Force's 633 Squadron is assigned the mission to destroy it. The plant is in a seemingly-impregnable location beneath an overhanging cliff at the end of a long, narrow fjord lined with anti-aircraft guns. The only way to destroy the plant is by collapsing the cliff on top of it.",1.497347,"United Kingdom, United States of America",633 Squadron,5.3,16.0,1964,Walter Grauman
"Action, Drama, History, War",11463,English,"In 1940, the Royal Air Force fights a desperate battle against the might of the Luftwaffe for control of the skies over Britain, thus preventing the Nazi invasion of Britain.",4.822357,United Kingdom,Battle of Britain,6.5,79.0,1969,Guy Hamilton
"Action, Drama, History, War",18780,English,"Loosely based on a true series of World War II events.  This movie chronicles the breakout of the German battleship Bismarck accompanied by the heavy cruiser Prinz Eugen during the early days of World War II. The Bismarck and her sister ship, Tirpitz, were the most powerful battleships in the European theater of World War II. The British Navy must find and destroy Bismarck before it can escape into the convoy lanes to inflict severe damage on the cargo shipping which was the lifeblood of the British Isles. With eight 15 inch guns, It was capable of destroying every ship in a convoy while remaining beyond the range of all Royal Navy warships. The movie presents the point of view of the commanders and combatants of the naval forces, mostly ships, on both sides as well as a perspective on the role of the British Admiralty in London which is the central command and control headquarters for the Royal Navy.",5.472565,United Kingdom,Sink the Bismarck!,6.7,25.0,1960,Lewis Gilbert
"Action, Drama, Adventure, War",19728,English,"A young pilot in the German air force of 1918, disliked as lower-class and unchivalrous, tries ambitiously to earn the medal offered for 20 kills.",4.361613,United Kingdom,The Blue Max,6.6,29.0,1966,John Guillermin
"Drama, Crime",3009,English,"An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",5.310729,France,The Trial,7.4,80.0,1962,Orson Welles
"Drama, Crime",49842,French,"Jenny Lamour (Delair) wants to succeed in the theatre. Her husband and accompanist is Maurice Martineau (Blier), a mild-mannered but jealous man. When he finds out that Jenny has been making eyes at Brignon, a lecherous old businessman, in order to further her career, he loses his temper and threatens Brignon with death. Despite this, Jenny goes to a secret rendezvous at Brignon's apartment, who is murdered the same evening. The criminal investigations are led by Inspector Antoine (Jouvet).",4.72304,France,Quai des Orfèvres,7.8,15.0,1947,Henri-Georges Clouzot
Western,38765,English,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County land war.,3.334076,"United States of America, Mexico",Chisum,6.7,49.0,1970,Andrew V. McLaglen
"Action, Thriller",29627,English,"A reporter Mullen 'stumbles' on a story linking a prominent Member of Parliament to a KGB agent. In fact it is also linked to a near Nuclear disaster involving a teenage runaway and an Americal USAF base. Has there been a Government cover-up,Mullen teams up with Vernon Bayliss, an old hack, and Nina Beckam the MP's assistant to find out the truth.",1.506457,United Kingdom,Defence of the Realm,6.8,10.0,1986,David Drury
Drama,36372,English,"Dr. Lauren Slaughter, a research fellow at the Arab-Anglo Institute in London is utterly frustrated by her job. To supplement her income, she starts moonlighting at the Jasmine Escort Service, where she has more control over men and money than she does at the office. On one of her 'dates', Lauren meets the politician Lord Bulbeck who is trying to mediate a peace accord between the Arabs and Israelis. Bulbeck falls in love with his escort, and unwittingly, Lauren becomes a pawn in some very dirty politics.",1.441189,"United Kingdom, United States of America",Half Moon Street,5.1,16.0,1986,Bob Swaim
"Drama, History, War",30529,Italian,"Although liberated from Auschwitz on January 27, 1945, Levi did not reach Turin until October 19 of that year. After spending some time in a Soviet camp for former concentration camp inmates, he embarked on an arduous journey home in the company of Italian former prisoners of war from the Italian Army in Russia. His long railway journey home to Turin took him on a circuitous route from Poland, through Russia, Romania, Hungary, Austria and Germany.",0.956069,"Germany, France, Italy, Switzerland",The Truce,5.4,10.0,1997,Francesco Rosi
"Action, Drama, Crime, Thriller",39088,English,"During the Gorbachev years, Platon Makovski and his four buddies are university students who jump on the private capitalism movement. Fast-forward 20 years, Platon finds himself the richest man in Russia, having sacrificed his friends to get to the top. But with this cynical rise, comes a brutal fall.",1.030832,"Germany, France, Russia",Tycoon,5.9,10.0,2002,Pavel Lungin
"Drama, History, War",4708,French,"The title is Adolf Hitler's question to his chief of staff Alfred Jodl on the eve of the liberation of Paris (August 25): the military governor of Paris, General Dietrich von Choltitz, had been ordered to destroy Paris rather than let it fall undamaged into the hands of the Allies, but von Choltitz disobeyed.The film follows historical events as U.S. General Dwight D. Eisenhower, head of the Allied invasion, refuses to divert troops to liberate Paris. His hand is forced by the French military leader, Philippe Leclerc, and by a Resistance uprising in the city. Von Choltitz keeps details of the uprising from the German high command in an effort to save the city being destroyed in retaliation. The film follows his turmoil as a soldier and as the man who doesn't wish to be seen by history as the cause of a beautiful city's destruction.",2.076076,"France, United States of America",Is Paris Burning?,7.2,25.0,1966,René Clément
"Drama, War",35068,English,"Murphy is the sole survivor of his crew, that has been massacred by a German U-Boat in the closing days of World War II. He is rescued, and ends up at a forgotten mission station near the mouth of the Orinoco, and begins to plot his vengeance. He wishes to sink the U-Boat by means of any method imaginable to him, and sets about to make the courageous attempt, assisted by Louis, the local oil company Administrator.",1.276311,United Kingdom,Murphy's War,6.4,15.0,1971,Peter Yates
"Drama, Thriller",15486,English,"The Bank, a world ripe with avarice and corruption, where O'Reilly and his ilk can thrive and honest Aussie battlers lose everything. Enter Jim Doyle a maverick mathematician who has devised a formula to predict the fluctuations of the stock market. When he joins O'Reilly's fold, he must first prove his loyalty to the ""greed is good"" ethos. Which way will he go? What does he have to hide?",1.637955,"Italy, Australia",The Bank,5.0,12.0,2001,Robert Connolly
"Drama, Romance",216,German,"A simple, delicate, melodramatic German film about a loneliness. With a double moral story about the tainted love between an old woman and a younger Moroccan immigrant worker.",5.855308,Germany,Ali: Fear Eats the Soul,7.5,74.0,1974,Rainer Werner Fassbinder
"Drama, Adventure",44736,English,"In this elaborately mounted seafaring adventure, Rolfe (Richard Widmark) is a Viking leader with the cunning and devious mind of a pirate. Rolfe tells others sailors of ""The Mother of Voices,"" a mammoth bell made of gold and as tall as three men, but he adds enough incorrect details to throw them off the proper trail. However, Aly Mansuh (Sidney Poitier), the leader of a group of ambitious Moors, sees through Rolfe's story, and soon the two are in a breakneck race to be the first to capture the precious bell. The Long Ships also features Russ Tamblyn and Oscar Homolka.",1.835475,"United Kingdom, Serbia",The Long Ships,6.0,15.0,1964,Jack Cardiff
"Comedy, Romance",18722,English,"Jack Elliot, a one-time MVP for the New York Yankees is now on the down side of his baseball career. With a falling batting average, does he have one good year left and can the manager of the Chunichi Dragons, a Japanese Central baseball league find it in him?",11.950477,"United States of America, Japan",Mr. Baseball,5.8,37.0,1992,Fred Schepisi
"Comedy, Drama, Foreign",20645,Japanese,"The story centers on an elderly hibakusha, who lost her husband in the 1945 atomic bombing of Nagasaki, caring for her four grandchildren over the summer. She learns of a long-lost brother, Suzujiro, living in Hawaii who wants her to visit him before he dies.",3.659999,Japan,Rhapsody in August,6.8,33.0,1991,Akira Kurosawa
"Thriller, Fantasy, Horror",11482,French,"A quiet and inconspicuous man (Trelkovsky) rents an apartment in France where the previous tenant committed suicide, and begins to suspect his landlord and neighbors are trying to subtly change him into the last tenant so that he too will kill himself.",6.583984,France,The Tenant,7.7,181.0,1976,Roman Polanski
"Crime, Thriller",302,English,"In the middle of this amusing thriller is a relationship between two different types of females, one is a well know British author and the other is a sex-crazed French teen. The two get into some relationship trouble while living together in this film of psychological imagery and an erotic exploration of the female body.",14.481103,"France, United Kingdom",Swimming Pool,6.5,154.0,2003,François Ozon
Drama,46993,Portuguese,"A story inspired by the life of one of the most remarkable figures in Brazilian popular culture, João Francisco dos Santos (1900-1976). In turn, bandit, transvestite, street fighter, brothel cook, convict and father to seven adopted children, dos Santos – better known as Madame Satã – was also a notorious gay performer who pushed social boundaries in a volatile time.",0.621761,"France, Brazil",Madame Satã,5.6,9.0,2002,Karim Aïnouz
"Action, Thriller, Fantasy, Science Fiction",8698,English,"To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.",10.488765,"Germany, United Kingdom, United States of America, Czech Republic",The League of Extraordinary Gentlemen,5.7,1181.0,2003,Stephen Norrington
"Comedy, Drama, Romance",34840,French,"After his wife leaves him for another man, Jacques hires a housekeeper, Laura, to keep his Paris apartment in order. As he starts increasing her hours and spending more time with her on her days off, Jacques is torn between the pleasure of Laura's company, and the headache that such an intrusion brings to his new domain of singlehood.",0.827852,France,The Housekeeper,6.1,8.0,2002,Claude Berri
"Drama, Romance, Foreign",35265,Italian,"Peppino is an aging taxidermist constantly ridiculed for being short and somewhat creepy. He meets Valerio, a handsome young man fascinated by Peppino's work. Peppino, in turn, becomes entranced by Valerio and offers him a large salary to come work as his assistant. But when Valerio meets Deborah, their fledgling romance is threatened by an insanely jealous third wheel.",1.40558,Italy,L'imbalsamatore,7.0,17.0,2002,Matteo Garrone
"Comedy, Drama, Music",25921,English,"A young garage band in Sydney, is trying to make it big in Australia.",1.002876,Australia,Garage Days,4.9,6.0,2002,Alex Proyas
"Drama, Family",68927,English,Rick Heller is a juvenile delinquent who keeps getting himself into trouble. To keep him out of trouble his mother puts him to work cleaning the cage of a gorilla named Katie which she is teaching to communicate through the use of sign language. When the owner of the gorilla takes her back to become a flea market freak Rick takes it upon himself to break Katie out and take her on an adventurous journey to get her out of the country.,1.315948,"United States of America, Japan",Born to Be Wild,5.0,11.0,1995,John Gray
Comedy,12649,English,"The Duchy of Grand Fenwick decides that the only way to get out of their economic woes is to declare war on the United States, lose and accept foreign aid. They send an invasion force to New York (armed with longbows) which arrives during a nuclear drill that has cleared the streets.",2.612138,United Kingdom,The Mouse That Roared,6.9,23.0,1959,Jack Arnold
"Drama, Music",24356,English,"Amidst unrest, organizers put on a benefit concert.",2.524264,"United Kingdom, United States of America",Masked and Anonymous,5.2,13.0,2003,Larry Charles
"Comedy, Drama, Crime, Thriller, War",9104,English,"Set just before the fall of the Berlin Wall in 1989, Sgt. Ray Elwood is an American soldier stationed at a German army camp. A soldier because a judge gave him a choice between the army and jail, Ray spends much of his free time cooking cocaine for the MPs. When a soldier dies and a toxicology screen shows an alarming level of illegal narcotics, someone is sent in to investigate.",6.134588,"Germany, United Kingdom, United States of America",Buffalo Soldiers,6.5,93.0,2001,Gregor Jordan
Comedy,47232,English,"While a British film crew are shooting a version of The Duchess of Malfi in Venice, they in turn are being filmed by a sleazy documentary prima donna while the strange staff share meals which consist of human meat. Then there is the hit man, the call girl and the Hollywood producer all managing to become part of the madness.",0.763339,"United Kingdom, Italy",Hotel,3.5,5.0,2001,Mike Figgis
Drama,54580,Spanish,"After the closure of their shipyard in Northern Spain, a few former workers: Santa, José, Lino, Amador, Sergei and Reina keep in touch. They meet mainly at a bar owned by their former colleague Rico. Santa is the most superficially confident and the unofficial leader of the group. A court case hangs over him relating to a shipyard lamp he smashed during protest against the closure. José is bitter that his wife, Ana, is employed when he is not. The gap between them is widening and he is fearful that she will leave him for a co-worker. Despite arthritic legs, Ana endures night shifts at a fish factory and thinks her looks are now lost. Not everyone seems to agree including her boss. Lino, an aging family man doggedly pursuing positions beyond his qualifications. The oldest member of the group, Amador, has degenerated into alcoholism after being abandoned by his wife; maintaining an increasingly transparent pretense that his wife will soon return from holiday.",2.061389,"France, Italy, Spain",Mondays in the Sun,7.0,37.0,2002,Fernando León de Aranoa
"Action, Adventure, Science Fiction",21512,English,"Set in a futuristic world where the only sport that has survived in a wasted society is the brutal game known as jugging. Sallow, the leader of a rag-tag team, has played in the main Leagues before, but was cast out because of indiscretions with a lady. However now joined by a talented newcomer, Kidda, an ambitious young peasant girl he and his team find they have one last chance for glory",10.3371,"United States of America, Australia",The Blood of Heroes,5.9,32.0,1989,David Webb Peoples
"Comedy, Action",21449,English,"In comic Woody Allen's film debut, he took the Japanese action film ""International Secret Police: Key of Keys"" and re-dubbed it, changing the plot to make it revolve around a secret egg salad recipe.",2.916982,"United States of America, Japan","What's Up, Tiger Lily?",5.6,49.0,1966,Woody Allen
"Drama, Romance, Thriller",50350,English,A jazz singer and a British jewel thief are brought together by their mutual desire to forget the past.,0.991888,"France, United Kingdom",And Now... Ladies and Gentlemen...,8.0,2.0,2002,Claude Lelouch
Drama,8094,English,"Four women are given into the custody of the Magdalene sisterhood asylum to correct their sinful behavior: Crispina and Rose have given birth to a premarital child, Margaret got raped by her cousin and the orphan Bernadette had been repeatedly caught flirting with the boys. All have to work in a laundry under the strict supervision of the nuns, who break their wills through sadistic punishment.",5.725912,"United Kingdom, Ireland",The Magdalene Sisters,7.4,114.0,2002,Peter Mullan
"Comedy, Drama, Romance",9499,English,"While visiting her sister in Paris, a young woman finds romance and learns her brother-in-law is a philanderer.",8.73915,"France, United States of America",Le Divorce,4.8,40.0,2003,James Ivory
"Action, Science Fiction",17180,Japanese,"Yuki is the last surviving royal of the House of Takemikazuchi or Takemikazuchi no Hime (たけみかずち　の　ひめ), who live in a futuristic post-apocalyptic isolationist world where they use their skills as former Mikado guards to become hired assassins. The wise old sage Kuka, who was once Yuki's mother's bodyguard, gives Yuki information that changes her life—and her destiny. She discovers that Byakurai has a dangerous connection to Yuki.  After learning this information she chooses to leave the House of Takemikazuchi. She soon encounters Takashi, leader of the rebel movement, who offers Yuki a chance at revenge—and perhaps love. They soon discover similarities for they are both trying to escape the past to start new lives....",1.287847,Japan,Princess Blade,5.6,9.0,2001,Shinsuke Sato
Drama,12491,Italian,A pimp with no other means to provide for himself finds his life spiralling out of control when his prostitute is sent to prison.,2.557031,Italy,Accattone,7.8,49.0,1961,Pier Paolo Pasolini
"Drama, History",24192,Italian,The life of Jesus Christ according to the Gospel of Matthew. Pasolini shows Christ as a marxist avant-la-lettre and therefore uses half of the text of Matthew.,2.534184,"France, Italy",The Gospel According to Matthew,7.4,54.0,1964,Pier Paolo Pasolini
Drama,833,Italian,"Umberto Domenico Ferrari, an elderly and retired civil servant, is desperately trying to maintain a decent standard of living on a rapidly dwindling state pension. But he's up against his tyrannical landlady, who keeps demanding rent that he can't pay (while renting his room out to prostitutes during the day), and his only friends are the pregnant housemaid and his little dog Flike.",5.71023,Italy,Umberto D.,8.0,92.0,1952,Vittorio De Sica
"Comedy, Action",11770,Chinese,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,8.461631,"China, Hong Kong",Shaolin Soccer,6.6,504.0,2001,Stephen Chow
Horror,37227,English,"Bart Hughes has a pretty good life, a beautiful wife, a young son, a good job with promotion prospects, and a renovated brownstone in New York. When wife and kid leave for a vacation, Bart stays behind to work on a project that will earn him that promotion, unaware that a certain inhabitant of his basement has other plans for his time. Bart goes a bit bonkers trying to kill this rat, destroying most of his house in the process. Certain allegorical elements tie the household conflict to the ""rat race"" in his office, but the main event is certainly the night-and-day contest of wills between man and rodent.",3.009764,"United States of America, Canada",Of Unknown Origin,5.9,19.0,1983,George P. Cosmatos
"Drama, Adventure",48791,English,A Danish prince seeks revenge upon the villain who killed the king and his son to usurp the throne.,3.709507,"Germany, France, United Kingdom, Denmark, Netherlands",Royal Deceit,6.1,10.0,1994,Gabriel Axel
"Comedy, Romance",41944,English,"Charles is in control of his life; he is about to finish 6th from college and start at Oxford. He is 19 and wants an 'older' woman before he turns 20. Enter the beautiful Rachel, and Charles puts his 'master-of-seduction' routines into top gear. Things however get complicated, Charles has a string of ex's and a weird brother-in-law. Rachel has a boyfriend named Deforest and Charles' father has a mistress.",1.348913,United Kingdom,The Rachel Papers,5.5,11.0,1989,Damian Harris
"Drama, Romance, War",30970,French,"A series of events unfold like a chain reaction, all stemming from a minor event that brings the film's five characters together. Set in Paris, France, Anne is an actress whose boyfriend Georges photographs the war in Kosovo. Georges' brother, Jean, is looking for the entry code to Georges' apartment. These characters lives interconnect with a Romanian immigrant and a deaf teacher.",11.251674,"Germany, France, Romania",Code Unknown,6.9,59.0,2000,Michael Haneke
"Drama, Romance",54898,French,A lonely Parisian woman comes to terms with her isolation and anxieties during a long summer vacation.,2.194581,France,The Green Ray,7.4,25.0,1986,Éric Rohmer
Drama,43048,English,"Major Jock Sinclair has been in this Highland regiment since he joined as a boy piper. During the Second World War, as Second-in-Command, he was made acting Commanding Officer. Now the regiment has returned to Scotland, and a new commanding officer is to be appointed. Jock's own cleverness is pitted against his new CO, his daughter, his girlfriend, and the other officers in the Mess.",1.336759,United Kingdom,Tunes of Glory,7.1,14.0,1960,Ronald Neame
