genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
Drama,406,French,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",12.108196,France,La Haine,7.9,695.0,1995,Mathieu Kassovitz
"Action, Drama, Adventure, Thriller, Science Fiction",45549,English,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding. An exciting game in which stolen cars are driven through shop windows to aid large-scale looting before the police arrive. For Tommy, it's a business, but for Billy and Jo, it's a labour of love. As the competition between Tommy and Billy grows more fierce, the stakes become higher and the ""shopping"" trips increasingly risky.",2.657647,United Kingdom,Shopping,5.6,13.0,1994,Paul W.S. Anderson
Documentary,63076,English,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",0.638211,"Germany, United Kingdom, United States of America, Canada",Heidi Fleiss: Hollywood Madam,6.8,4.0,1995,Nick Broomfield
"Comedy, Action, Crime, Thriller",33542,Chinese,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",12.314278,Hong Kong,Rumble in the Bronx,6.5,245.0,1995,Stanley Tong
Drama,71754,English,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking dishwasher. But no matter what you do, you can't avoid the spectre of the pit forever.",0.372697,"United Kingdom, Canada",Margaret's Museum,7.5,2.0,1995,Mort Ransen
Comedy,43612,English,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called ""where are you?"" shows a woman from Gers who is searching for her husband who disappeared 28 years ago. The lost husband looks like an identical twin of Francis...",1.254885,France,Happiness Is in the Field,7.0,23.0,1995,Étienne Chatiliez
Drama,32119,English,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,0.86539,Canada,The Boys of St. Vincent,7.0,7.0,1992,John N. Smith
"Comedy, Drama, Romance",11104,Chinese,"Every day, Cop 223 buys a can of pineapple with an expiration date of May 1, symbolizing the day he'll get over his lost love. He's also got his eye on a mysterious woman in a blond wig, oblivious of the fact she's a drug dealer. Cop 663 is distraught with heartbreak over a breakup. But when his ex drops a spare set of his keys at a local cafe, a waitress lets herself into his apartment and spruces up his life.",6.778979,Hong Kong,Chungking Express,7.9,249.0,1994,Wong Kar-wai
"Drama, Romance, War",73067,Italian,The quirky story of a young boy's adventures growing up with his stunningly beautiful mother and the two very different men who love her.,0.637554,"France, United Kingdom, United States of America, Ireland",Frankie Starlight,5.4,4.0,1995,Michael Lindsay-Hogg
"Comedy, Drama, Romance",55475,Spanish,"Balbuena is a genial illegal immigrant who makes his way to New York City to take a bite out of the Big Apple. But his hopes of finding a better life soon begin to fade as Balbuena encounters one obstacle after another in the hardscrabble, uncaring metropolis.",0.291021,Dominican Republic,Nueba Yol,5.5,1.0,1995,Ángel Muñiz
