genre_id,genre
0,Adventure
1,Science Fiction
2,Animation
3,Action
4,Romance
5,Music
6,Crime
7,War
8,Fantasy
9,Foreign
10,Comedy
11,History
12,Horror
13,Documentary
14,Western
15,Mystery
16,Family
17,Thriller
18,TV Movie
19,Drama
