,userId,yearsActive,IsCyberbullying
0,1935601099,3,False
1,1935601099,3,False
2,1935601099,3,False
3,927613872390975488,3,False
4,4495931,12,False
5,3696241,12,False
6,15016209,11,False
7,16310319,11,False
8,15883237,11,True
9,16626956,11,False
10,23186079,10,False
11,23186079,10,False
12,23186079,10,False
13,23186079,10,False
14,23186079,10,False
15,23186079,10,False
16,23186079,3,False
17,23186079,10,False
18,23186079,10,False
19,23186079,10,False
20,23186079,10,False
21,23186079,10,False
22,23186079,10,False
23,23186079,10,False
24,33536404,10,False
25,71108476,10,False
26,71108476,10,False
27,71108476,10,False
28,71108476,10,False
29,71108476,10,False
30,71108476,10,False
31,71108476,10,False
32,71108476,10,False
33,76762055,10,False
34,76762055,10,False
35,60668913,10,False
36,30567448,10,True
37,95956201,10,False
38,60334462,10,False
39,60334462,10,False
40,69167515,10,False
41,69167515,10,False
42,68723264,10,False
43,68723264,10,False
44,44982012,10,False
45,44982012,10,False
46,44982012,10,False
47,69365359,10,False
48,95439391,10,False
49,35201774,10,False
50,60611223,10,False
51,36222372,10,False
52,62198384,10,False
53,92548679,10,False
54,47070156,10,False
55,77419430,10,False
56,48971197,10,False
57,48971197,10,False
58,64820716,10,False
59,64820716,10,False
60,68034431,10,False
61,68034431,10,False
62,68034431,10,False
63,68034431,10,False
64,68034431,10,False
65,68034431,10,False
66,68034431,10,False
67,68034431,10,False
68,68034431,10,False
69,94543804,10,False
70,94543804,10,False
71,31094717,10,False
72,22924311,10,False
73,49692305,10,False
74,92748776,10,False
75,19942168,10,False
76,19942168,10,False
77,56764903,10,False
78,56764903,10,False
79,69897962,10,False
80,69897962,10,False
81,74397391,10,False
82,74397391,10,False
83,74397391,10,False
84,77189080,10,False
85,45819962,10,False
86,73080402,10,False
87,73080402,10,False
88,73080402,10,False
89,63829194,10,False
90,97453133,10,False
91,98149527,10,False
92,80549263,10,False
93,80549263,10,False
94,80549263,10,False
95,93183233,10,False
96,36413418,10,False
97,85420539,10,True
98,67155761,10,False
99,93499827,10,False
100,96430842,10,False
101,38399582,10,False
102,95897602,10,False
103,87282413,10,False
104,87282413,10,False
105,80931720,10,False
106,49119658,10,True
107,74480433,10,True
108,22540376,10,False
109,66708116,10,True
110,21574395,10,False
111,97184872,10,False
112,97184872,10,False
113,93150869,10,False
