,userId,nbFollowers,nbFollowings,nbFavorites,nbSocialMediaAcc
249,182365162,52420.0,2517,382,0
250,219459066,142471.0,1408,1037,1
251,219459066,142471.0,1408,45,0
252,219459066,142471.0,1408,147,4
253,170428440,6731254.0,121,70262,0
254,157813728,38985.0,20762,42089,1
255,173315794,398342.0,1736,8646,0
256,173315794,398342.0,1736,9905,0
257,106093163,53804.0,528,1258,0
258,106093163,53804.0,528,2276,0
259,184006040,45996.0,620,562,0
260,125332490,100432.0,5,306,1
261,98634644,460583.0,211,1539,0
262,98634644,460583.0,211,1118,0
263,213667695,6933.0,0,137,0
264,178514496,159382.0,210,831,0
265,128205136,28648.0,440,50,1
266,138892081,847326.0,485,272,0
267,162348219,17051.0,193,8,0
268,193735382,8954.0,73,174,1
269,103610520,244107.0,328,2740,0
270,113610282,190291.0,1038,2327,0
271,113610282,190291.0,1038,259,0
272,105589340,135403.0,201,806,1
273,194697745,11157.0,633,1298,0
274,121096624,791512.0,1063,25939,0
275,109217956,811926.0,235,110,1
276,166092949,1172156.0,100,266,1
277,150128811,286394.0,254,4621,1
278,219248343,2901772.0,4,72,1
279,219248343,2901772.0,4,118,1
280,114784239,12187.0,381,61,4
281,101454251,270307.0,13,308,2
282,212292237,46680.0,485,562,2
283,212292237,46680.0,485,90,1
284,110846621,358932.0,291,287,2
285,185769572,64218.0,19,77,1
286,164270848,6808.0,321,193,1
287,183152161,187602.0,331,0,0
288,139436281,212.0,572,0,0
289,167568323,614.0,12,0,0
290,168834213,234.0,467,0,0
291,228361479,268352.0,168612,1,0
292,166304945,179.0,338,0,0
293,189851121,511.0,413,0,0
294,178048778,216.0,350,0,0
295,138370332,1305.0,2388,0,0
296,153042209,73509.0,17,0,0
297,172261312,9652.0,7,49,3
298,131967319,406.0,237,0,0
299,99728911,640.0,690,11,1
300,148960365,808.0,649,0,0
301,168832037,5412.0,1033,90,0
302,123619640,3939.0,374,0,0
303,210229845,1395.0,849,0,0
304,102063687,919.0,270,0,0
305,179478622,345.0,221,0,0
306,112599358,242.0,926,0,0
307,129260915,10.0,60,0,0
308,172266950,1354.0,455,0,1
309,99159617,507.0,621,20,0
310,147598265,1652.0,548,8,0
311,113884441,324.0,330,0,0
312,154280892,48350.0,0,1,3
313,220756011,1156.0,165,1,0
314,185538960,910.0,677,0,0
315,103219342,504.0,691,0,0
316,188155444,490.0,389,0,0
317,184388793,1076.0,189,0,0
318,181972946,195.0,176,0,0
319,112134459,10741.0,10499,457,1
320,145969848,177.0,267,0,0
321,217277565,207.0,941,0,0
322,176336946,325.0,245,0,0
323,194600450,92.0,197,0,0
324,117436608,427.0,305,0,0
325,179484617,6440.0,463,2,0
326,98948443,59.0,116,0,0
327,106583882,141.0,237,1,0
328,159965265,9339.0,4995,1,1
329,151223599,302.0,470,0,0
330,147304732,21087.0,2241,0,0
331,169984847,384.0,565,0,0
332,211277854,74.0,270,0,0
333,174698344,424.0,327,0,0
334,214417698,15.0,20,0,0
335,219239665,143339.0,121132,80,0
336,201061892,3918.0,2139,12,0
337,109791258,250.0,371,0,0
338,160454211,1832.0,345,0,0
339,185169918,5994.0,151,1,0
340,216743295,30.0,43,0,0
341,157326391,2797.0,4008,0,0
342,221100136,73.0,125,0,0
343,110806309,1794.0,1395,0,0
344,153229069,642.0,194,0,0
345,129744757,848.0,849,0,0
346,176199055,692.0,966,0,1
347,184838152,319.0,431,0,0
348,187798017,43.0,301,0,0
349,142210840,916.0,2207,0,0
350,122196260,1185.0,697,0,1
351,136894680,277.0,999,0,0
352,180014062,846.0,295,0,0
353,205614850,433069.0,8,108,1
354,205614850,433069.0,8,176,1
355,205614850,433069.0,8,778,1
356,134542614,187.0,134,0,1
357,148266617,459.0,450,0,0
358,182858718,10.0,136,0,0
359,183979676,94115.0,700,86,0
360,122224117,10.0,114,0,0
361,114429601,34.0,270,0,0
362,128955137,15118.0,563,459,0
363,145250275,1494.0,786,0,0
364,222046925,13013.0,11432,0,0
365,149285680,198.0,134,0,0
366,203285701,651.0,1139,0,0
367,210173829,13235.0,7260,1555,3
368,161205514,4291.0,118,3,0
369,168670285,945.0,134,0,0
370,148093854,105.0,170,0,0
371,132653163,1929.0,135,0,0
372,146765315,434.0,488,0,1
373,127609507,4830.0,1285,0,0
374,188878965,292.0,290,0,0
375,190276482,560.0,643,0,0
376,197738500,568.0,522,0,0
377,168073950,309.0,200,0,0
378,104384720,2457.0,4943,0,0
379,119170221,61.0,90,0,0
380,180281614,2742.0,2452,1,0
381,119502163,6725.0,2098,1,0
382,178000117,1602.0,1045,0,0
383,178000117,1602.0,1045,0,0
384,131596792,157.0,240,0,0
385,224332516,628.0,153,0,0
386,124526032,400.0,373,0,0
387,101055715,365.0,109,0,1
388,211289582,7701.0,4847,0,0
389,211289582,7701.0,4847,0,0
390,117826718,584.0,585,0,0
391,100967903,95.0,431,0,0
392,160248068,5326.0,5354,0,0
393,191167408,11082.0,2321,323,1
394,109344086,661.0,528,0,0
395,166100038,386.0,473,0,0
396,175137286,53.0,67,0,0
397,106049611,752.0,1666,0,0
398,127963928,446.0,553,0,0
399,136639064,103.0,136,0,0
400,105111131,188.0,586,0,0
401,180366413,1157.0,1639,0,0
402,136769999,241.0,1477,0,0
403,228277047,105.0,567,0,0
404,223199669,188.0,192,0,0
405,190015637,1273.0,1576,0,0
406,129444966,33179.0,21944,0,0
407,175340160,284.0,325,0,1
408,215368340,1772.0,55,1,0
409,112563230,38.0,48,0,0
410,175459213,96.0,157,0,0
411,186780379,128.0,1068,0,0
412,160663454,38.0,180,0,0
413,201815756,23124.0,451,0,0
414,211275040,448.0,1388,0,0
415,154179927,1205.0,1072,0,0
416,124471551,6002.0,4910,5,0
417,186034779,96.0,234,0,0
418,162769970,1410.0,431,0,0
419,106174898,11.0,13,2,0
420,116874978,1062.0,3472,0,0
421,225015031,567.0,336,0,0
422,144235766,116.0,260,3,0
423,212265020,150.0,243,4,0
424,114236672,241.0,242,0,0
425,150316336,1054.0,222,6,0
426,172233198,364.0,314,0,0
427,99182718,76.0,101,1,0
428,189395249,226.0,431,0,0
429,116147009,32.0,230,2,0
430,106442579,351.0,207,0,0
431,219924040,108.0,160,0,0
432,172353764,514.0,454,0,0
433,211987237,5336.0,285,37,0
434,190710828,540.0,153,0,0
435,223991063,7763.0,368,0,0
436,183571002,178.0,93,0,0
437,125414415,243.0,777,0,0
438,167501060,18.0,69,0,0
439,206733618,113.0,97,0,0
440,184159779,62.0,192,0,0
441,147182843,76.0,364,2,0
442,163217623,1687.0,389,2,0
443,200305181,215.0,233,0,0
444,163451589,628.0,1793,0,0
445,223089078,384.0,97,0,0
446,278482682,35237.0,9,108,0
447,314863372,23778.0,1835,2,0
448,385516556,93.0,94,1,0
449,272935234,86126.0,50,784,0
450,272935234,86126.0,50,1332,0
451,272935234,86126.0,50,1854,0
452,272935234,86126.0,50,24982,0
453,229205329,199120.0,6,11318,0
454,233468158,34854.0,463,322,0
455,233468158,34854.0,463,1198,0
456,354274463,6087.0,0,31,1
457,367378757,863.0,1044,8,1
458,333250184,8778.0,7290,9,0
459,302254341,87005.0,975,458,1
460,246316102,874929.0,685,8501,0
461,394776381,492.0,348,0,2
462,404819932,75658.0,283,1051,0
463,404819932,75658.0,283,4256,0
464,404819932,75658.0,283,4300,0
465,280736094,31589.0,807,23348,0
466,280736094,31589.0,807,6424,0
467,298086168,1342.0,102,213,1
468,339159350,138.0,181,0,0
469,384786997,23940.0,21953,258,1
470,300128698,14042.0,364,893,1
471,412226476,7767.0,1639,489,0
472,387237461,31013.0,1283,335,0
473,264535355,10505.0,163,24667,1
474,288714694,8498.0,245,7,1
475,288714694,8498.0,245,10,0
476,288714694,8498.0,245,16,0
477,326030438,554941.0,12,844,1
478,311430278,1980.0,545,1,1
479,271604772,2161.0,2113,315,1
480,415640429,1164978.0,735579,3759,1
481,415640429,1164978.0,735579,3067,1
482,415640429,1164978.0,735579,4367,1
483,415640429,1164978.0,735579,2908,1
484,358456577,8383.0,155,1319,0
485,365172101,100832.0,58,1368,1
486,365172101,100832.0,58,285,1
487,365172101,100832.0,58,13,1
488,365172101,100832.0,58,33,1
489,285685164,1321866.0,35,14,1
490,342253661,5899.0,5969,790,0
491,331809358,2452.0,640,154,1
492,294282936,225564.0,24,1981,1
493,294282936,225564.0,24,1427,0
494,317885577,98179.0,349,327,0
495,317885577,98179.0,349,832,0
496,423805915,75497.0,955,320,1
497,423805915,75497.0,955,86,0
498,423805915,75497.0,955,58,1
499,423805915,75497.0,955,900,0
500,423805915,75497.0,955,143,0
501,423805915,75497.0,955,43,0
502,423805915,75497.0,955,172,0
503,423805915,75497.0,955,97,0
504,423805915,75497.0,955,20,1
505,423805915,75497.0,955,252,0
506,283925860,17663.0,327,4681,0
507,232198426,298.0,1717,16,0
508,272613386,6703994.0,9,10759,1
509,272613386,6703994.0,9,4118,1
510,272613386,6703994.0,9,3288,1
511,272613386,6703994.0,9,8176,0
512,272613386,6703994.0,9,1164,0
513,272613386,6703994.0,9,2812,0
514,414672171,165697.0,23,107,1
515,259902862,5652.0,279,1161,4
516,331758384,185494.0,33,2451,1
517,435735676,13734.0,13631,55,0
518,338236352,6898.0,4721,48,0
519,316001489,5358.0,4322,195,1
520,368138398,33537.0,69,13,4
521,439036303,116.0,160,13,0
522,265967403,144722.0,381,164,2
523,331072050,4091.0,409,79,4
524,229006061,135589.0,373,221,2
525,229006061,135589.0,373,114,1
526,230478495,144.0,46,30,0
527,425725805,729.0,504,32,1
528,355238635,2096.0,75,11,1
529,355357543,195586.0,1624,3255,0
530,355357543,195586.0,1624,676,0
531,305663267,29386.0,1242,113,1
532,233126605,212.0,1139,7,1
533,284694804,1422756.0,1516,5959,1
534,284694804,1422756.0,1516,329,0
535,261702971,12463.0,144,11,1
536,391978038,84.0,359,16,0
537,302688107,524.0,527,10,1
538,405649608,3750.0,3204,101,0
539,234579442,4583.0,97,889,1
540,246181702,2282175.0,333,51518,0
541,246181702,2282175.0,333,28935,1
542,246181702,2282175.0,333,3786,4
543,321590215,156014.0,333,1280,0
544,321590215,156014.0,333,489,1
545,262348793,417273.0,50,1537,4
546,262348793,417273.0,50,425,1
547,376776346,6764.0,338,869,1
548,384283484,26296.0,181,137,1
549,364811638,8515.0,866,475,1
550,417045777,71163.0,2977,10936,0
551,417045777,71163.0,2977,29154,0
552,434788572,710623.0,10,1518,1
553,232342448,21663.0,2166,411,1
554,436555067,209.0,433,13,1
555,336020995,12670.0,258,409,0
556,313167240,2861.0,137,36,4
557,288454336,1035.0,392,32,1
558,288454336,1035.0,392,1,0
559,272437579,11881.0,8749,18,0
560,272437579,11881.0,8749,57,0
561,272437579,11881.0,8749,39,0
562,274436473,1570.0,1548,1082,1
563,293421226,560902.0,43,506,0
564,246291639,22.0,10,17,0
565,361817152,204317.0,411,797,1
566,289986591,3522.0,47,50,0
567,330460928,10189.0,1128,223,0
568,244134012,30709.0,943,549,1
569,346798341,323.0,247,6,0
570,256665334,99958.0,1626,54,0
571,256665334,99958.0,1626,4659,1
572,270588436,610.0,490,64,0
573,267241838,42462.0,202,5226,0
574,267241838,42462.0,202,4271,2
575,267241838,42462.0,202,3204,0
576,355437660,46668.0,890,143,0
577,257146833,27336.0,2788,137,0
578,252990071,26291.0,33,3,0
579,246280171,24017.0,108,33,0
580,289903090,22233.0,1014,3,1
581,284178993,1226.0,157,2072,1
582,304908916,19805.0,353,157,1
583,290087225,21599.0,324,370,0
584,316059222,41919.0,39073,367,0
585,376724421,190961.0,3,21,4
586,295816306,13613.0,2181,31,1
587,296210843,5740.0,453,5,2
