,userId,nbLetter,nbWords,nbEmojis,nbSlangWords,nbStatus,nbMentions,IsSelfTagged,nbHashtags,nbRetweets
2875,826136132375236608,38,8,0.0,1,6307,0,0.0,0,0.0
2876,913475703219326976,42,5,0.0,1,572,1,0.0,0,0.0
2877,941440979625762816,82,15,3.0,2,15679,0,0.0,0,26.0
2878,908070416341749760,48,9,0.0,1,2756,1,0.0,0,0.0
2879,908070416341749760,40,9,0.0,1,2756,3,0.0,0,0.0
2880,828344807001034752,52,10,0.0,1,466,1,0.0,0,0.0
2881,932265653477761024,46,7,0.0,1,1462,0,0.0,0,0.0
2882,940946227839012864,156,22,0.0,1,959,2,0.0,0,0.0
2883,818162354647134208,133,23,1.0,5,33215,0,0.0,0,0.0
2884,887373214334283776,21,4,0.0,1,2982,1,0.0,0,0.0
2885,825246264916836352,28,5,0.0,1,4189,1,0.0,0,0.0
2886,894596131375788032,44,4,0.0,0,300,0,0.0,0,0.0
2887,818179946392731648,53,9,0.0,1,857,7,0.0,0,0.0
2888,845743450838499328,71,11,0.0,1,440,0,0.0,0,0.0
2889,859149150335533056,14,2,0.0,1,3491,1,0.0,0,0.0
2890,911932001841709056,28,6,1.0,1,301,1,0.0,0,0.0
2891,928639838504521728,74,11,0.0,1,24601,0,0.0,0,0.0
2892,885525400943775744,56,9,0.0,1,129,0,0.0,0,0.0
2893,814058214497062912,187,32,0.0,1,1374,0,0.0,0,33.0
2894,819249673538043904,31,4,0.0,1,135,0,0.0,0,0.0
2895,811262829533728768,21,4,0.0,0,238,1,0.0,0,0.0
2896,899418404792283136,18,3,0.0,1,3560,1,0.0,0,0.0
2897,882680486623141888,138,19,0.0,0,24265,1,0.0,0,0.0
2898,866217491537776640,221,42,0.0,4,757,0,0.0,1,0.0
2899,852827941012594688,25,6,0.0,1,1404,1,0.0,0,0.0
2900,895869160634294272,26,5,0.0,1,100,0,0.0,0,0.0
2901,828709748677697536,19,3,0.0,1,2175,0,0.0,0,0.0
2902,839162477178929152,101,16,0.0,1,1695,0,0.0,0,1280.0
2903,815591343145750528,100,18,1.0,0,24,0,0.0,0,1.0
2904,892867526681653248,39,9,0.0,1,4814,0,0.0,0,0.0
2905,870804670427672576,17,3,0.0,1,715,1,0.0,0,0.0
2906,839224388402700288,19,4,0.0,1,44,1,0.0,0,0.0
2907,842634130554847232,44,8,0.0,1,1783,0,0.0,0,0.0
2908,839493049608777728,44,8,1.0,0,318,1,0.0,0,0.0
2909,848536210456883200,40,8,0.0,1,2370,1,0.0,0,0.0
2910,825343976513368064,18,4,0.0,1,206,1,0.0,0,0.0
2911,861144536772476928,141,27,0.0,2,18545,0,0.0,0,0.0
2912,901887356361474048,37,6,0.0,1,10414,0,0.0,0,0.0
2913,916787137483366400,33,5,6.0,1,1131,2,0.0,0,0.0
2914,880146739675770880,31,6,0.0,1,3671,1,0.0,0,0.0
2915,832298989433257984,70,10,0.0,2,252,0,0.0,0,0.0
2916,810892358321664000,34,6,0.0,1,5011,1,0.0,0,0.0
2917,928013133486153728,234,36,0.0,1,33456,1,0.0,0,0.0
2918,937169703298093056,52,9,0.0,1,826,0,0.0,0,0.0
2919,923687861219708928,43,8,0.0,1,1619,0,0.0,0,0.0
2920,902495056606744576,56,13,0.0,0,1244,1,0.0,0,0.0
2921,941677813190615040,27,6,0.0,2,424,0,0.0,0,0.0
2922,925123080715948032,35,7,0.0,2,2007,1,0.0,0,0.0
2923,854832530146680832,111,17,0.0,1,262,0,0.0,0,0.0
2924,904158399318851584,53,8,0.0,1,1401,0,0.0,0,0.0
2925,864030762835869696,74,11,0.0,1,4041,0,0.0,0,0.0
2926,851819168567611392,228,37,0.0,1,23176,0,0.0,0,0.0
2927,899983912000204800,8,3,0.0,1,1398,1,0.0,0,0.0
2928,890830558225465344,29,5,0.0,0,2824,1,0.0,0,0.0
2929,933727515935494144,114,23,0.0,1,5405,3,0.0,0,0.0
2930,814381485012746240,29,5,0.0,1,1541,1,0.0,0,0.0
2931,830326577632247808,168,33,0.0,2,479,2,0.0,0,0.0
2932,846820483614085120,69,13,0.0,1,4665,1,0.0,0,0.0
2933,874739505617678336,25,6,0.0,1,4570,8,0.0,0,0.0
2934,900622125446377472,42,10,0.0,1,1860,1,0.0,0,0.0
2935,908592153928101888,95,20,0.0,0,394,1,0.0,0,0.0
2936,817305646311817216,24,5,0.0,1,4077,2,0.0,0,0.0
2937,887411015259914240,36,5,0.0,1,5944,1,0.0,0,0.0
2938,922869712261873664,216,39,0.0,2,48368,1,0.0,0,3.0
2939,905005587221676032,33,6,2.0,1,813,0,0.0,0,0.0
2940,815486835338186752,30,6,0.0,1,492,3,0.0,0,0.0
2941,826337881392369664,20,3,0.0,1,417,1,0.0,0,0.0
2942,834779830948417536,31,6,0.0,1,15173,0,0.0,0,0.0
2943,820495090082869248,63,11,0.0,3,1291,0,0.0,0,12.0
2944,848849922837405696,56,11,0.0,1,1170,1,0.0,0,0.0
2945,882313119959326720,42,9,0.0,1,11364,1,0.0,0,0.0
2946,929516302456295424,21,4,0.0,1,1743,1,0.0,0,0.0
2947,910923330366124032,236,39,0.0,3,593,3,0.0,0,0.0
2948,840271062252281856,67,10,0.0,1,12408,3,0.0,0,0.0
2949,903628940505489408,21,3,0.0,1,1214,1,0.0,0,0.0
2950,846859526900977664,34,6,0.0,1,1564,0,0.0,0,0.0
2951,933738098122547200,142,26,0.0,2,24062,0,0.0,0,1.0
2952,880526415384465408,23,4,0.0,2,694,1,0.0,0,0.0
2953,828156618386919424,84,16,0.0,1,1456,1,0.0,0,0.0
2954,865697390308798464,37,5,0.0,2,795,1,0.0,0,0.0
2955,865697390308798464,72,16,0.0,3,795,3,0.0,0,0.0
2956,924951308586700800,100,19,0.0,1,57274,0,0.0,0,0.0
